,Ligand,Concentration,Animal,Cell,Predicted
0,hIL4,-14.67969757,Human,Ramos,8.107208735442842e-05
1,hIL4,-14.654012962742476,Human,Ramos,8.601096451551982e-05
2,hIL4,-14.62832835548495,Human,Ramos,9.125068853021168e-05
3,hIL4,-14.602643748227425,Human,Ramos,9.680958174325601e-05
4,hIL4,-14.5769591409699,Human,Ramos,0.00010270708194454653
5,hIL4,-14.551274533712375,Human,Ramos,0.00010896381022192893
6,hIL4,-14.525589926454849,Human,Ramos,0.00011560164293470068
7,hIL4,-14.499905319197325,Human,Ramos,0.00012264378805717884
8,hIL4,-14.4742207119398,Human,Ramos,0.00013011486615672604
9,hIL4,-14.448536104682274,Human,Ramos,0.0001380409962864738
10,hIL4,-14.42285149742475,Human,Ramos,0.0001464498870898066
11,hIL4,-14.397166890167224,Human,Ramos,0.0001553709334314759
12,hIL4,-14.3714822829097,Human,Ramos,0.00016483531888903923
13,hIL4,-14.345797675652173,Human,Ramos,0.00017487612445831044
14,hIL4,-14.32011306839465,Human,Ramos,0.00018552844384759045
15,hIL4,-14.294428461137123,Human,Ramos,0.00019682950575784913
16,hIL4,-14.268743853879599,Human,Ramos,0.0002088188035696458
17,hIL4,-14.243059246622074,Human,Ramos,0.00022153823288265548
18,hIL4,-14.217374639364548,Human,Ramos,0.00023503223738011332
19,hIL4,-14.191690032107024,Human,Ramos,0.0002493479635185285
20,hIL4,-14.166005424849498,Human,Ramos,0.00026453542457264656
21,hIL4,-14.140320817591974,Human,Ramos,0.00028064767459693216
22,hIL4,-14.114636210334448,Human,Ramos,0.00029774099289800373
23,hIL4,-14.088951603076923,Human,Ramos,0.00031587507964738474
24,hIL4,-14.063266995819397,Human,Ramos,0.00033511326330097483
25,hIL4,-14.037582388561873,Human,Ramos,0.00035552272053062235
26,hIL4,-14.011897781304349,Human,Ramos,0.00037717470941449636
27,hIL4,-13.986213174046823,Human,Ramos,0.00040014481667641726
28,hIL4,-13.960528566789298,Human,Ramos,0.00042451321981029454
29,hIL4,-13.934843959531772,Human,Ramos,0.0004503649649742853
30,hIL4,-13.909159352274248,Human,Ramos,0.00047779026159034977
31,hIL4,-13.883474745016722,Human,Ramos,0.0005068847946388393
32,hIL4,-13.857790137759197,Human,Ramos,0.0005377500556944199
33,hIL4,-13.832105530501673,Human,Ramos,0.0005704936938095413
34,hIL4,-13.806420923244147,Human,Ramos,0.0006052298874144825
35,hIL4,-13.780736315986623,Human,Ramos,0.0006420797384693088
36,hIL4,-13.755051708729097,Human,Ramos,0.0006811716901726998
37,hIL4,-13.729367101471572,Human,Ramos,0.0007226419696057046
