,Ligand,Receptor,$K_D$
0,mIL4,gc,-3.978365505730452
0,mIL4,IL13Rα,-1.654264355804671
0,mNeo4,gc,-0.8749369316121028
0,hIL4,gc,3.999942401987937
0,hIL4,IL13Rα,1.4575910534736056
0,hNeo4,gc,3.999810266712158
0,hIL13,IL4Rα,-3.424277976514458
