,Model,% Available IL13Rα,Prediction Accuracy (MSE),Ligand
0,Multivalent,31.999999999999996,0.02999039836456451,hIL4
0,Multivalent,31.999999999999996,0.02003218324216468,hIL13
0,Multivalent,31.999999999999996,0.06319422721788472,hNeo4
0,Multivalent,29.999999999999993,0.029974120207624647,hIL4
0,Multivalent,29.999999999999993,0.020004287678350843,hIL13
0,Multivalent,29.999999999999993,0.06319405787598059,hNeo4
0,Multivalent,28.000000000000004,0.03005379028772019,hIL4
0,Multivalent,28.000000000000004,0.020043053349061746,hIL13
0,Multivalent,28.000000000000004,0.0631938885351418,hNeo4
0,Multivalent,26.0,0.030229408481030718,hIL4
0,Multivalent,26.0,0.020148480164045916,hIL13
0,Multivalent,26.0,0.06319371919536898,hNeo4
0,Multivalent,24.0,0.03050097466373588,hIL4
0,Multivalent,24.0,0.020320568033052083,hIL13
0,Multivalent,24.0,0.06319354985666105,hNeo4
0,Multivalent,21.999999999999996,0.030868488712015644,hIL4
0,Multivalent,21.999999999999996,0.02055931686582888,hIL13
0,Multivalent,21.999999999999996,0.06319338051901802,hNeo4
0,Multivalent,19.999999999999996,0.0313319505020501,hIL4
0,Multivalent,19.999999999999996,0.02086472657212522,hIL13
0,Multivalent,19.999999999999996,0.0631932111824421,hNeo4
0,Multivalent,17.999999999999993,0.03189135991001961,hIL4
0,Multivalent,17.999999999999993,0.02123679706169019,hIL13
0,Multivalent,17.999999999999993,0.06319304184693102,hNeo4
0,Multivalent,16.000000000000004,0.03254671681210491,hIL4
0,Multivalent,16.000000000000004,0.021675528244273136,hIL13
0,Multivalent,16.000000000000004,0.06319287251248568,hNeo4
0,Multivalent,14.000000000000002,0.033298021084486616,hIL4
0,Multivalent,14.000000000000002,0.022180920029623418,hIL13
0,Multivalent,14.000000000000002,0.06319270317910516,hNeo4
0,Multivalent,12.0,0.03414527260334589,hIL4
0,Multivalent,12.0,0.022752972327490767,hIL13
0,Multivalent,12.0,0.06319253384679009,hNeo4
0,Multivalent,9.999999999999998,0.03508847124486393,hIL4
0,Multivalent,9.999999999999998,0.023391685047624726,hIL13
0,Multivalent,9.999999999999998,0.06319236451554208,hNeo4
0,Multivalent,7.9999999999999964,0.0361276168852222,hIL4
0,Multivalent,7.9999999999999964,0.024097058099775377,hIL13
0,Multivalent,7.9999999999999964,0.06319219518535837,hNeo4
0,Multivalent,5.999999999999995,0.0372627094006024,hIL4
0,Multivalent,5.999999999999995,0.02486909139369276,hIL13
0,Multivalent,5.999999999999995,0.06319202585623987,hNeo4
0,Multivalent,4.0000000000000036,0.03849374866718647,hIL4
0,Multivalent,4.0000000000000036,0.025707784839127203,hIL13
0,Multivalent,4.0000000000000036,0.0631918565281872,hNeo4
0,Multivalent,2.0000000000000018,0.039820734561156416,hIL4
0,Multivalent,2.0000000000000018,0.02661313834582914,hIL13
0,Multivalent,2.0000000000000018,0.06319168720119998,hNeo4
0,Multivalent,0.0,0.04124366695869485,hIL4
0,Multivalent,0.0,0.02758515182354908,hIL13
0,Multivalent,0.0,0.06319151787527809,hNeo4
