,Ligand,Receptor,$K_D$
0,mIL4,IL4Rα,5.997052453811376
0,mNeo4,IL4Rα,6.0
0,hIL4,IL4Rα,0.4547498836259898
0,hNeo4,IL4Rα,4.568797868748081
0,hIL13,IL13Rα,5.9178261133019525
