,Ligand,Receptor,$K_D$
0,mIL4,IL4Rα,-1.5510826880378126
0,mIL4,gc,5.243534753148953
0,mIL4,IL13Rα,5.318309114821094
0,mNeo4,IL4Rα,1.1426366410937394
0,mNeo4,gc,5.125884291914784
0,hIL4,IL4Rα,-1.5884485610139443
0,hIL4,gc,5.999999998317824
0,hIL4,IL13Rα,3.0039731243188363
0,hNeo4,IL4Rα,-0.32842482654204375
0,hNeo4,gc,5.94825407732408
0,hIL13,IL4Rα,3.0000000000017213
0,hIL13,IL13Rα,-0.4657562487428937
