,Concentration,Cell,Experimental,Ligand,Predicted,Animal
0,-14.2247,Ramos,0.0,hIL4,0.0002301918100030498,Human
1,-13.3216,Ramos,0.0,hIL4,0.0018386153386992991,Human
2,-12.4185,Ramos,0.00421297,hIL4,0.014522419416732681,Human
3,-11.5154,Ramos,0.1441065,hIL4,0.10546458866480288,Human
4,-10.6124,Ramos,0.7450629000000001,hIL4,0.4854082302466188,Human
5,-9.70927,Ramos,1.0326,hIL4,0.8832571096957388,Human
6,-8.80618,Ramos,1.046745,hIL4,0.9840646345099685,Human
7,-7.90309,Ramos,0.922063,hIL4,0.9982942315258361,Human
8,-7.0,Ramos,0.9974775,hIL4,1.0,Human
9,-14.2247,Ramos,0.0,hIL4,0.0002301918100030498,Human
10,-13.3216,Ramos,0.0,hIL4,0.0018386153386992991,Human
11,-12.4185,Ramos,0.00523566,hIL4,0.014522419416732681,Human
12,-11.5154,Ramos,0.1465092,hIL4,0.10546458866480288,Human
13,-10.6124,Ramos,0.7522217000000001,hIL4,0.4854082302466188,Human
14,-9.70927,Ramos,1.0438129999999999,hIL4,0.8832571096957388,Human
15,-8.80618,Ramos,1.101762,hIL4,0.9840646345099685,Human
16,-7.90309,Ramos,0.9844412,hIL4,0.9982942315258361,Human
17,-7.0,Ramos,1.019096,hIL4,1.0,Human
18,-13.6797,Ramos,0.03150859,hIL4,0.0008069364909255404,Human
19,-12.7255,Ramos,0.01470401,hIL4,0.007215162865227016,Human
20,-11.7712,Ramos,0.037237429999999995,hIL4,0.06140168632442635,Human
21,-10.817,Ramos,0.46288989999999997,hIL4,0.370604071331239,Human
22,-9.86273,Ramos,1.053151,hIL4,0.8415010596023224,Human
23,-8.90849,Ramos,1.0812220000000001,hIL4,0.9798212252164648,Human
24,-7.95424,Ramos,1.010376,hIL4,0.998037943887852,Human
25,-7.0,Ramos,1.0583069999999999,hIL4,1.0,Human
26,-13.6797,Ramos,0.02598342,hIL4,0.0008069364909255404,Human
27,-12.7255,Ramos,0.004775,hIL4,0.007215162865227016,Human
28,-11.7712,Ramos,0.03181264,hIL4,0.06140168632442635,Human
29,-10.817,Ramos,0.4510201,hIL4,0.370604071331239,Human
30,-9.86273,Ramos,1.0893810000000002,hIL4,0.8415010596023224,Human
31,-8.90849,Ramos,1.128449,hIL4,0.9798212252164648,Human
32,-7.95424,Ramos,1.058623,hIL4,0.998037943887852,Human
33,-7.0,Ramos,1.1301860000000001,hIL4,1.0,Human
34,-13.6797,Ramos,0.014945120000000001,hIL4,0.0008069364909255404,Human
35,-12.7255,Ramos,0.00043409000000000004,hIL4,0.007215162865227016,Human
36,-11.7712,Ramos,0.02337888,hIL4,0.06140168632442635,Human
37,-10.817,Ramos,0.44481879999999996,hIL4,0.370604071331239,Human
38,-9.86273,Ramos,1.0534139999999999,hIL4,0.8415010596023224,Human
39,-8.90849,Ramos,1.075738,hIL4,0.9798212252164648,Human
40,-7.95424,Ramos,1.0026869999999999,hIL4,0.998037943887852,Human
41,-7.0,Ramos,1.091366,hIL4,1.0,Human
42,-14.67969757,Ramos,0.03850394743,hIL4,8.075272452779596e-05,Human
43,-13.72545506,Ramos,0.0017201076200000001,hIL4,0.0007263054894974926,Human
44,-12.77121255,Ramos,0.0,hIL4,0.006499001573636974,Human
45,-11.81697004,Ramos,0.03047677855,hIL4,0.05560128209398361,Human
46,-10.86272753,Ramos,0.3777620959,hIL4,0.3463912668406953,Human
47,-9.908485019,Ramos,1.0510739649999998,hIL4,0.8269100427463356,Human
48,-8.954242509,Ramos,0.946015084,hIL4,0.9775897907669736,Human
49,-8.0,Ramos,1.002910951,hIL4,0.9977814338938132,Human
50,-14.67969757,Ramos,0.01240457459,hIL4,8.075272452779596e-05,Human
51,-13.72545506,Ramos,0.09027870927000001,hIL4,0.0007263054894974926,Human
52,-12.77121255,Ramos,0.0038665881299999997,hIL4,0.006499001573636974,Human
53,-11.81697004,Ramos,0.02885069604,hIL4,0.05560128209398361,Human
54,-10.86272753,Ramos,0.3464357989,hIL4,0.3463912668406953,Human
55,-9.908485019,Ramos,1.070625011,hIL4,0.8269100427463356,Human
56,-8.954242509,Ramos,0.9727880841,hIL4,0.9775897907669736,Human
57,-8.0,Ramos,0.9615207414,hIL4,0.9977814338938132,Human
58,-14.67969757,Ramos,0.00533624154,hIL4,8.075272452779596e-05,Human
59,-13.72545506,Ramos,0.08565979856,hIL4,0.0007263054894974926,Human
60,-12.77121255,Ramos,0.00176708326,hIL4,0.006499001573636974,Human
61,-11.81697004,Ramos,0.01786328724,hIL4,0.05560128209398361,Human
62,-10.86272753,Ramos,0.36932040190000004,hIL4,0.3463912668406953,Human
63,-9.908485019,Ramos,1.065656183,hIL4,0.8269100427463356,Human
64,-8.954242509,Ramos,0.9808361861,hIL4,0.9775897907669736,Human
65,-8.0,Ramos,0.9485737947,hIL4,0.9977814338938132,Human
0,-14.2247,Ramos,0.0,hNeo4,1.7789464065975364e-05,Human
1,-13.3216,Ramos,0.0,hNeo4,0.00014230298934952683,Human
