,Ligand,Concentration,Animal,Cell,Predicted
0,hIL4,-14.67969757,Human,Ramos,2.363339172564782e-06
1,hIL4,-14.654012962742476,Human,Ramos,2.5073247916492355e-06
2,hIL4,-14.62832835548495,Human,Ramos,2.660082660027779e-06
3,hIL4,-14.602643748227425,Human,Ramos,2.822147219359225e-06
4,hIL4,-14.5769591409699,Human,Ramos,2.9940854713080055e-06
5,hIL4,-14.551274533712375,Human,Ramos,3.176498961161803e-06
6,hIL4,-14.525589926454849,Human,Ramos,3.3700258822890364e-06
7,hIL4,-14.499905319197325,Human,Ramos,3.5753433087964726e-06
8,hIL4,-14.4742207119398,Human,Ramos,3.7931695641962318e-06
9,hIL4,-14.448536104682274,Human,Ramos,4.02426673436634e-06
10,hIL4,-14.42285149742475,Human,Ramos,4.269443333593849e-06
11,hIL4,-14.397166890167224,Human,Ramos,4.529557133024887e-06
12,hIL4,-14.3714822829097,Human,Ramos,4.80551816141306e-06
13,hIL4,-14.345797675652173,Human,Ramos,5.098291888661064e-06
14,hIL4,-14.32011306839465,Human,Ramos,5.408902603288046e-06
15,hIL4,-14.294428461137123,Human,Ramos,5.738436995634438e-06
16,hIL4,-14.268743853879599,Human,Ramos,6.0880479593338275e-06
17,hIL4,-14.243059246622074,Human,Ramos,6.458958624345471e-06
18,hIL4,-14.217374639364548,Human,Ramos,6.852466635649292e-06
19,hIL4,-14.191690032107024,Human,Ramos,7.269948692564278e-06
20,hIL4,-14.166005424849498,Human,Ramos,7.71286536456213e-06
21,hIL4,-14.140320817591974,Human,Ramos,8.182766200413002e-06
22,hIL4,-14.114636210334448,Human,Ramos,8.68129514852675e-06
23,hIL4,-14.088951603076923,Human,Ramos,9.21019630743821e-06
24,hIL4,-14.063266995819397,Human,Ramos,9.771320026540541e-06
25,hIL4,-14.037582388561873,Human,Ramos,1.036662937839162e-05
26,hIL4,-14.011897781304349,Human,Ramos,1.099820702521867e-05
27,hIL4,-13.986213174046823,Human,Ramos,1.1668262503620728e-05
28,hIL4,-13.960528566789298,Human,Ramos,1.2379139952929982e-05
29,hIL4,-13.934843959531772,Human,Ramos,1.3133326314242316e-05
30,hIL4,-13.909159352274248,Human,Ramos,1.3933460028768602e-05
31,hIL4,-13.883474745016722,Human,Ramos,1.4782340265903807e-05
32,hIL4,-13.857790137759197,Human,Ramos,1.5682936713256586e-05
33,hIL4,-13.832105530501673,Human,Ramos,1.663839996284609e-05
34,hIL4,-13.806420923244147,Human,Ramos,1.765207252974959e-05
35,hIL4,-13.780736315986623,Human,Ramos,1.8727500541692596e-05
36,hIL4,-13.755051708729097,Human,Ramos,1.9868446140413153e-05
37,hIL4,-13.729367101471572,Human,Ramos,2.1078900638111477e-05
38,hIL4,-13.703682494214046,Human,Ramos,2.2363098474932404e-05
39,hIL4,-13.677997886956522,Human,Ramos,2.3725532026215188e-05
40,hIL4,-13.652313279698998,Human,Ramos,2.5170967311211434e-05
41,hIL4,-13.626628672441472,Human,Ramos,2.670446065810753e-05
42,hIL4,-13.600944065183947,Human,Ramos,2.8331376383521528e-05
43,hIL4,-13.575259457926421,Human,Ramos,3.0057405548177147e-05
44,hIL4,-13.549574850668897,Human,Ramos,3.188858585419919e-05
45,hIL4,-13.52389024341137,Human,Ramos,3.3831322753453936e-05
46,hIL4,-13.498205636153846,Human,Ramos,3.5892411840562915e-05
47,hIL4,-13.47252102889632,Human,Ramos,3.8079062608693985e-05
48,hIL4,-13.446836421638796,Human,Ramos,4.039892365096161e-05
49,hIL4,-13.421151814381272,Human,Ramos,4.286010939530084e-05
50,hIL4,-13.395467207123746,Human,Ramos,4.54712284659964e-05
51,hIL4,-13.369782599866221,Human,Ramos,4.8241413770701046e-05
52,hIL4,-13.344097992608695,Human,Ramos,5.118035441776507e-05
53,hIL4,-13.318413385351171,Human,Ramos,5.429832957504e-05
54,hIL4,-13.292728778093645,Human,Ramos,5.760624438805997e-05
55,hIL4,-13.26704417083612,Human,Ramos,6.111566808262633e-05
56,hIL4,-13.241359563578595,Human,Ramos,6.483887438439699e-05
57,hIL4,-13.21567495632107,Human,Ramos,6.878888439608513e-05
58,hIL4,-13.189990349063546,Human,Ramos,7.297951208138396e-05
59,hIL4,-13.16430574180602,Human,Ramos,7.742541251372737e-05
60,hIL4,-13.138621134548496,Human,Ramos,8.214213305755018e-05
61,hIL4,-13.11293652729097,Human,Ramos,8.714616765982909e-05
62,hIL4,-13.087251920033445,Human,Ramos,9.245501444039465e-05
63,hIL4,-13.06156731277592,Human,Ramos,9.8087236780881e-05
64,hIL4,-13.035882705518395,Human,Ramos,0.00010406252812419796
65,hIL4,-13.010198098260869,Human,Ramos,0.00011040178070917407
66,hIL4,-12.984513491003344,Human,Ramos,0.00011712715847852453
67,hIL4,-12.95882888374582,Human,Ramos,0.00012426217441260522
68,hIL4,-12.933144276488294,Human,Ramos,0.0001318317725565697
