,Cell,Antibody,Component 1,Component 2,Cell Donor,Ratio
0,A549,False,-0.9363763197257924,-0.04554787625701975,A549 210309,6.015990556
1,A549,False,-2.192185796035032,1.7253717780679032,A549 210929,5.423615566
2,Fibroblast,False,-1.298324894640489,0.003670375300555118,Fibroblast 210225,13.57007385
3,Macrophage,False,-0.9067328065381082,-0.23539443829450438,Macrophage 210806,461.8035058
4,Macrophage,False,-0.7767643828791511,0.07150543114236602,Macrophage 210820,381.1638294
5,Monocyte,False,0.5143566657822514,-1.4240251765051557,Monocyte 210426,89.19454034
6,Monocyte,False,-0.049719095427160125,-1.0430107786305693,Monocyte 210722,274.2960265
7,Monocyte,False,0.3208007911604609,-0.20265376153334533,Monocyte 210831,417.5479818
8,Monocyte,False,0.3949036498167558,-0.7364484681709987,Monocyte 210903,184.2708646
9,Ramos,False,2.588761552344495,0.8327425343540541,Ramos 210309,
10,Ramos,False,2.34128063614177,1.0537903805267137,Ramos 210929,2550.372644
