,Ligand,Receptor,$K_D$
0,mIL4,IL4Rα,5.998942307019632
0,mNeo4,IL4Rα,6.0
0,hIL4,IL4Rα,4.9768706482838825
0,hNeo4,IL4Rα,3.930028324386642
0,hIL13,IL13Rα,5.999999999998552
