,Ligand,Receptor,$K_D$
0,mIL4,gc,-3.980218803103513
0,mIL4,IL13Rα,-1.656691833197389
0,mNeo4,gc,-0.8749863811518765
0,hIL4,gc,-1.619280946540395
0,hIL4,IL13Rα,-2.814083166401406
0,hNeo4,gc,3.9999996852659945
0,hIL13,IL4Rα,-3.547187461399924
