,Ligand,Concentration,Animal,Cell,Predicted
0,hIL4,-14.67969757,Human,Ramos,8.075272452779596e-05
1,hIL4,-14.654012962742476,Human,Ramos,8.567214791549439e-05
2,hIL4,-14.62832835548495,Human,Ramos,9.089123335951709e-05
3,hIL4,-14.602643748227425,Human,Ramos,9.642823107381833e-05
4,hIL4,-14.5769591409699,Human,Ramos,0.0001023025023295608
5,hIL4,-14.551274533712375,Human,Ramos,0.00010853458704142245
6,hIL4,-14.525589926454849,Human,Ramos,0.0001151462754584613
7,hIL4,-14.499905319197325,Human,Ramos,0.00012216068420794557
8,hIL4,-14.4742207119398,Human,Ramos,0.00012960233695551276
9,hIL4,-14.448536104682274,Human,Ramos,0.0001374972499608086
10,hIL4,-14.42285149742475,Human,Ramos,0.0001458730228245175
11,hIL4,-14.397166890167224,Human,Ramos,0.00015475893474043264
12,hIL4,-14.3714822829097,Human,Ramos,0.0001641860465849709
13,hIL4,-14.345797675652173,Human,Ramos,0.00017418730919644887
14,hIL4,-14.32011306839465,Human,Ramos,0.0001847976782174444
15,hIL4,-14.294428461137123,Human,Ramos,0.00019605423589587933
16,hIL4,-14.268743853879599,Human,Ramos,0.00020799632026399353
17,hIL4,-14.243059246622074,Human,Ramos,0.00022066566213935836
18,hIL4,-14.217374639364548,Human,Ramos,0.0002341065304184315
19,hIL4,-14.191690032107024,Human,Ramos,0.00024836588616108197
20,hIL4,-14.166005424849498,Human,Ramos,0.00026349354599403965
21,hIL4,-14.140320817591974,Human,Ramos,0.0002795423553923903
22,hIL4,-14.114636210334448,Human,Ramos,0.00029656837243128827
23,hIL4,-14.088951603076923,Human,Ramos,0.0003146310626348477
24,hIL4,-14.063266995819397,Human,Ramos,0.000333793505586092
25,hIL4,-14.037582388561873,Human,Ramos,0.00035412261400066326
26,hIL4,-14.011897781304349,Human,Ramos,0.0003756893660081739
27,hIL4,-13.986213174046823,Human,Ramos,0.0003985690514283777
28,hIL4,-13.960528566789298,Human,Ramos,0.0004228415328751641
29,hIL4,-13.934843959531772,Human,Ramos,0.00044859152256967924
30,hIL4,-13.909159352274248,Human,Ramos,0.00047590887579475024
31,hIL4,-13.883474745016722,Human,Ramos,0.0005048889019765661
32,hIL4,-13.857790137759197,Human,Ramos,0.000535632694436041
33,hIL4,-13.832105530501673,Human,Ramos,0.0005682474799119741
34,hIL4,-13.806420923244147,Human,Ramos,0.0006028469890207522
35,hIL4,-13.780736315986623,Human,Ramos,0.0006395518488833924
36,hIL4,-13.755051708729097,Human,Ramos,0.0006784899992201372
37,hIL4,-13.729367101471572,Human,Ramos,0.0007197971332856644
38,hIL4,-13.703682494214046,Human,Ramos,0.0007636171650947017
39,hIL4,-13.677997886956522,Human,Ramos,0.0008101027244680746
40,hIL4,-13.652313279698998,Human,Ramos,0.000859415681513678
41,hIL4,-13.626628672441472,Human,Ramos,0.0009117277022450441
42,hIL4,-13.600944065183947,Human,Ramos,0.0009672208371327392
43,hIL4,-13.575259457926421,Human,Ramos,0.001026088144480571
44,hIL4,-13.549574850668897,Human,Ramos,0.0010885343506194549
45,hIL4,-13.52389024341137,Human,Ramos,0.0011547765490174857
