,Concentration,Cell,Experimental,Ligand,Predicted,Donor,Animal
0,-14.2247,Ramos,0.0,hIL4,5.453473283025487e-05,0,Human
1,-13.3216,Ramos,0.0,hIL4,0.0004360967435473611,0,Human
2,-12.4185,Ramos,0.00421297,hIL4,0.0034766719293245103,0,Human
3,-11.5154,Ramos,0.1441065,hIL4,0.027060681907854888,0,Human
4,-10.6124,Ramos,0.7450629000000001,hIL4,0.17860832460433393,0,Human
5,-9.70927,Ramos,1.0326,hIL4,0.6190197407462751,0,Human
6,-8.80618,Ramos,1.046745,hIL4,0.9259941438444351,0,Human
7,-7.90309,Ramos,0.922063,hIL4,0.9910984284331102,0,Human
8,-7.0,Ramos,0.9974775,hIL4,1.0,0,Human
9,-14.2247,Ramos,0.0,hIL4,5.453473283025487e-05,0,Human
10,-13.3216,Ramos,0.0,hIL4,0.0004360967435473611,0,Human
11,-12.4185,Ramos,0.00523566,hIL4,0.0034766719293245103,0,Human
12,-11.5154,Ramos,0.1465092,hIL4,0.027060681907854888,0,Human
13,-10.6124,Ramos,0.7522217000000001,hIL4,0.17860832460433393,0,Human
14,-9.70927,Ramos,1.0438129999999999,hIL4,0.6190197407462751,0,Human
15,-8.80618,Ramos,1.101762,hIL4,0.9259941438444351,0,Human
16,-7.90309,Ramos,0.9844412,hIL4,0.9910984284331102,0,Human
17,-7.0,Ramos,1.019096,hIL4,1.0,0,Human
18,-13.6797,Ramos,0.03150859,hIL4,0.000191251563681093,0,Human
19,-12.7255,Ramos,0.01470401,hIL4,0.0017180778595498368,0,Human
20,-11.7712,Ramos,0.037237429999999995,hIL4,0.015224922316042151,0,Human
21,-10.817,Ramos,0.46288989999999997,hIL4,0.12045672103120701,0,Human
22,-9.86273,Ramos,1.053151,hIL4,0.5361884834470775,0,Human
23,-8.90849,Ramos,1.0812220000000001,hIL4,0.9081219812453655,0,Human
24,-7.95424,Ramos,1.010376,hIL4,0.9898419788564845,0,Human
25,-7.0,Ramos,1.0583069999999999,hIL4,1.0,0,Human
26,-13.6797,Ramos,0.02598342,hIL4,0.000191251563681093,0,Human
27,-12.7255,Ramos,0.004775,hIL4,0.0017180778595498368,0,Human
28,-11.7712,Ramos,0.03181264,hIL4,0.015224922316042151,0,Human
29,-10.817,Ramos,0.4510201,hIL4,0.12045672103120701,0,Human
30,-9.86273,Ramos,1.0893810000000002,hIL4,0.5361884834470775,0,Human
31,-8.90849,Ramos,1.128449,hIL4,0.9081219812453655,0,Human
32,-7.95424,Ramos,1.058623,hIL4,0.9898419788564845,0,Human
33,-7.0,Ramos,1.1301860000000001,hIL4,1.0,0,Human
34,-13.6797,Ramos,0.014945120000000001,hIL4,0.000191251563681093,0,Human
35,-12.7255,Ramos,0.00043409000000000004,hIL4,0.0017180778595498368,0,Human
36,-11.7712,Ramos,0.02337888,hIL4,0.015224922316042151,0,Human
37,-10.817,Ramos,0.44481879999999996,hIL4,0.12045672103120701,0,Human
38,-9.86273,Ramos,1.0534139999999999,hIL4,0.5361884834470775,0,Human
39,-8.90849,Ramos,1.075738,hIL4,0.9081219812453655,0,Human
40,-7.95424,Ramos,1.0026869999999999,hIL4,0.9898419788564845,0,Human
41,-7.0,Ramos,1.091366,hIL4,1.0,0,Human
42,-14.67969757,Ramos,0.03850394743,hIL4,1.9129044570216213e-05,0,Human
43,-13.72545506,Ramos,0.0017201076200000001,hIL4,0.00017213115089706734,0,Human
44,-12.77121255,Ramos,0.0,hIL4,0.0015467348572362949,0,Human
45,-11.81697004,Ramos,0.03047677855,hIL4,0.013725949893928849,0,Human
46,-10.86272753,Ramos,0.3777620959,hIL4,0.10989517584941737,0,Human
47,-9.908485019,Ramos,1.0510739649999998,hIL4,0.5109025006017586,0,Human
48,-8.954242509,Ramos,0.946015084,hIL4,0.8989761388830855,0,Human
49,-8.0,Ramos,1.002910951,hIL4,0.9885891249820382,0,Human
50,-14.67969757,Ramos,0.01240457459,hIL4,1.9129044570216213e-05,0,Human
51,-13.72545506,Ramos,0.09027870927000001,hIL4,0.00017213115089706734,0,Human
52,-12.77121255,Ramos,0.0038665881299999997,hIL4,0.0015467348572362949,0,Human
53,-11.81697004,Ramos,0.02885069604,hIL4,0.013725949893928849,0,Human
54,-10.86272753,Ramos,0.3464357989,hIL4,0.10989517584941737,0,Human
55,-9.908485019,Ramos,1.070625011,hIL4,0.5109025006017586,0,Human
56,-8.954242509,Ramos,0.9727880841,hIL4,0.8989761388830855,0,Human
57,-8.0,Ramos,0.9615207414,hIL4,0.9885891249820382,0,Human
58,-14.67969757,Ramos,0.00533624154,hIL4,1.9129044570216213e-05,0,Human
59,-13.72545506,Ramos,0.08565979856,hIL4,0.00017213115089706734,0,Human
60,-12.77121255,Ramos,0.00176708326,hIL4,0.0015467348572362949,0,Human
61,-11.81697004,Ramos,0.01786328724,hIL4,0.013725949893928849,0,Human
62,-10.86272753,Ramos,0.36932040190000004,hIL4,0.10989517584941737,0,Human
63,-9.908485019,Ramos,1.065656183,hIL4,0.5109025006017586,0,Human
64,-8.954242509,Ramos,0.9808361861,hIL4,0.8989761388830855,0,Human
65,-8.0,Ramos,0.9485737947,hIL4,0.9885891249820382,0,Human
0,-14.2247,Ramos,0.0,hNeo4,1.4596948670198413e-09,0,Human
1,-13.3216,Ramos,0.0,hNeo4,1.167782798048056e-08,0,Human
2,-12.4185,Ramos,0.0,hNeo4,9.342476536772036e-08,0,Human
3,-11.5154,Ramos,0.00232776,hNeo4,7.474145591559455e-07,0,Human
4,-10.6124,Ramos,0.07662714,hNeo4,5.978026760033634e-06,0,Human
5,-9.70927,Ramos,0.6123836,hNeo4,4.782536170831618e-05,0,Human
6,-8.80618,Ramos,1.048193,hNeo4,0.0003823944809400121,0,Human
7,-7.90309,Ramos,1.042433,hNeo4,0.0030458855420111013,0,Human
8,-7.0,Ramos,1.057231,hNeo4,0.023551498322699625,0,Human
9,-14.2247,Ramos,0.0,hNeo4,1.4596948670198413e-09,0,Human
10,-13.3216,Ramos,0.0,hNeo4,1.167782798048056e-08,0,Human
11,-12.4185,Ramos,0.0,hNeo4,9.342476536772036e-08,0,Human
12,-11.5154,Ramos,0.0,hNeo4,7.474145591559455e-07,0,Human
13,-10.6124,Ramos,0.07988621,hNeo4,5.978026760033634e-06,0,Human
14,-9.70927,Ramos,0.6227892,hNeo4,4.782536170831618e-05,0,Human
15,-8.80618,Ramos,0.9892588999999999,hNeo4,0.0003823944809400121,0,Human
16,-7.90309,Ramos,1.039882,hNeo4,0.0030458855420111013,0,Human
17,-7.0,Ramos,0.9872504999999999,hNeo4,0.023551498322699625,0,Human
18,-13.67969757,Ramos,0.0,hNeo4,5.119935716952521e-09,0,Human
19,-12.72545506,Ramos,0.00498390156,hNeo4,4.60794184390878e-08,0,Human
20,-11.77121255,Ramos,0.0,hNeo4,4.1471451757650615e-07,0,Human
21,-10.81697004,Ramos,0.0275658272,hNeo4,3.7324105013696815e-06,0,Human
22,-9.862727528,Ramos,0.2882282892,hNeo4,3.359006171092134e-05,0,Human
23,-8.908485019,Ramos,0.9678031138000001,hNeo4,0.0003021783500314354,0,Human
24,-7.954242509,Ramos,1.034402152,hNeo4,0.002708945798511739,0,Human
25,-7.0,Ramos,1.0275217220000001,hNeo4,0.023551498322699625,0,Human
26,-13.67969757,Ramos,0.0,hNeo4,5.119935716952521e-09,0,Human
27,-12.72545506,Ramos,0.09286809861,hNeo4,4.60794184390878e-08,0,Human
28,-11.77121255,Ramos,0.0,hNeo4,4.1471451757650615e-07,0,Human
29,-10.81697004,Ramos,0.01576378237,hNeo4,3.7324105013696815e-06,0,Human
30,-9.862727528,Ramos,0.30353591609999997,hNeo4,3.359006171092134e-05,0,Human
31,-8.908485019,Ramos,0.9351369635000001,hNeo4,0.0003021783500314354,0,Human
32,-7.954242509,Ramos,1.012888627,hNeo4,0.002708945798511739,0,Human
33,-7.0,Ramos,1.030244534,hNeo4,0.023551498322699625,0,Human
34,-13.67969757,Ramos,0.0,hNeo4,5.119935716952521e-09,0,Human
35,-12.72545506,Ramos,0.07173308295,hNeo4,4.60794184390878e-08,0,Human
36,-11.77121255,Ramos,0.0,hNeo4,4.1471451757650615e-07,0,Human
37,-10.81697004,Ramos,0.0034466871599999997,hNeo4,3.7324105013696815e-06,0,Human
38,-9.862727528,Ramos,0.3071750579,hNeo4,3.359006171092134e-05,0,Human
39,-8.908485019,Ramos,0.8816695729,hNeo4,0.0003021783500314354,0,Human
40,-7.954242509,Ramos,1.000851466,hNeo4,0.002708945798511739,0,Human
41,-7.0,Ramos,1.003580822,hNeo4,0.023551498322699625,0,Human
0,-13.6797,Ramos,0.02406111,hIL13,7.37983620417787e-18,0,Human
1,-12.7255,Ramos,0.0137492,hIL13,6.641202500409701e-17,0,Human
2,-11.7712,Ramos,0.01814131,hIL13,5.97787353040833e-16,0,Human
3,-10.817,Ramos,0.0040101799999999995,hIL13,5.3795595916892394e-15,0,Human
4,-9.86273,Ramos,0.00190961,hIL13,4.841910112608108e-14,0,Human
5,-8.90849,Ramos,0.0024825,hIL13,4.357693921656391e-13,0,Human
6,-7.95424,Ramos,0.0,hIL13,3.921992174055194e-12,0,Human
7,-7.0,Ramos,0.0,hIL13,3.529772560756873e-11,0,Human
8,-13.6797,Ramos,0.02499121,hIL13,7.37983620417787e-18,0,Human
9,-12.7255,Ramos,0.01258863,hIL13,6.641202500409701e-17,0,Human
10,-11.7712,Ramos,0.004775,hIL13,5.97787353040833e-16,0,Human
11,-10.817,Ramos,0.0,hIL13,5.3795595916892394e-15,0,Human
12,-9.86273,Ramos,0.0,hIL13,4.841910112608108e-14,0,Human
13,-8.90849,Ramos,0.00948798,hIL13,4.357693921656391e-13,0,Human
14,-7.95424,Ramos,0.00266656,hIL13,3.921992174055194e-12,0,Human
15,-7.0,Ramos,0.00675941,hIL13,3.529772560756873e-11,0,Human
16,-13.6797,Ramos,0.0013022700000000001,hIL13,7.37983620417787e-18,0,Human
17,-12.7255,Ramos,0.0,hIL13,6.641202500409701e-17,0,Human
18,-11.7712,Ramos,0.0,hIL13,5.97787353040833e-16,0,Human
19,-10.817,Ramos,0.0,hIL13,5.3795595916892394e-15,0,Human
20,-9.86273,Ramos,0.0,hIL13,4.841910112608108e-14,0,Human
21,-8.90849,Ramos,0.0,hIL13,4.357693921656391e-13,0,Human
22,-7.95424,Ramos,0.0,hIL13,3.921992174055194e-12,0,Human
23,-7.0,Ramos,0.00502305,hIL13,3.529772560756873e-11,0,Human
24,-13.67969757,Ramos,0.0,hIL13,7.37987749655642e-18,0,Human
25,-12.72545506,Ramos,0.00471926962,hIL13,6.641889755475475e-17,0,Human
26,-11.77121255,Ramos,0.00269042473,hIL13,5.977700787645153e-16,0,Human
27,-10.81697004,Ramos,0.01354033432,hIL13,5.379930715826118e-15,0,Human
28,-9.862727528,Ramos,0.00736558903,hIL13,4.8419376727921825e-14,0,Human
29,-8.908485019,Ramos,0.01151148944,hIL13,4.357743901103061e-13,0,Human
30,-7.954242509,Ramos,0.0033078992600000003,hIL13,3.921969516042373e-12,0,Human
31,-7.0,Ramos,0.022008556430000003,hIL13,3.529772560756873e-11,0,Human
32,-13.67969757,Ramos,0.0,hIL13,7.37987749655642e-18,0,Human
33,-12.72545506,Ramos,0.08908898985000001,hIL13,6.641889755475475e-17,0,Human
34,-11.77121255,Ramos,0.0012072152999999999,hIL13,5.977700787645153e-16,0,Human
35,-10.81697004,Ramos,0.0,hIL13,5.379930715826118e-15,0,Human
36,-9.862727528,Ramos,0.0024669182200000002,hIL13,4.8419376727921825e-14,0,Human
37,-8.908485019,Ramos,0.0091153503,hIL13,4.357743901103061e-13,0,Human
38,-7.954242509,Ramos,0.00526625804,hIL13,3.921969516042373e-12,0,Human
39,-7.0,Ramos,0.00400655512,hIL13,3.529772560756873e-11,0,Human
40,-13.67969757,Ramos,0.00162711627,hIL13,7.37987749655642e-18,0,Human
41,-12.72545506,Ramos,0.08579976556,hIL13,6.641889755475475e-17,0,Human
42,-11.77121255,Ramos,0.0,hIL13,5.977700787645153e-16,0,Human
43,-10.81697004,Ramos,0.0,hIL13,5.379930715826118e-15,0,Human
44,-9.862727528,Ramos,0.0,hIL13,4.8419376727921825e-14,0,Human
45,-8.908485019,Ramos,0.01289445906,hIL13,4.357743901103061e-13,0,Human
46,-7.954242509,Ramos,0.0,hIL13,3.921969516042373e-12,0,Human
47,-7.0,Ramos,0.008905399809999999,hIL13,3.529772560756873e-11,0,Human
0,-13.2247,Macrophage,0.00902542,hIL4,0.028259275869463384,0,Human
1,-12.6227,Macrophage,0.00071806,hIL4,0.10418511358768086,0,Human
2,-12.0206,Macrophage,0.00668345,hIL4,0.3174907511158223,0,Human
3,-11.4185,Macrophage,0.07263419,hIL4,0.6504080341396163,0,Human
4,-10.8165,Macrophage,0.38338700000000003,hIL4,0.881516572643625,0,Human
5,-10.2144,Macrophage,0.8107301,hIL4,0.9674969757137081,0,Human
6,-9.61236,Macrophage,0.9574788,hIL4,0.9916767396957644,0,Human
7,-9.0103,Macrophage,0.9212224,hIL4,0.9979122323636889,0,Human
8,-8.40824,Macrophage,0.932623,hIL4,0.9994833859178925,0,Human
9,-7.80618,Macrophage,0.9297065999999999,hIL4,0.9998769481804145,0,Human
10,-7.20412,Macrophage,0.9661175,hIL4,0.9999753872118422,0,Human
11,-6.60206,Macrophage,1.0382989999999999,hIL4,1.0,0,Human
12,-13.2247,Macrophage,0.01644902,hIL4,0.028259275869463384,0,Human
13,-12.6227,Macrophage,0.00237511,hIL4,0.10418511358768086,0,Human
14,-12.0206,Macrophage,0.00745674,hIL4,0.3174907511158223,0,Human
15,-11.4185,Macrophage,0.07935078,hIL4,0.6504080341396163,0,Human
16,-10.8165,Macrophage,0.37649360000000004,hIL4,0.881516572643625,0,Human
17,-10.2144,Macrophage,0.8291343999999999,hIL4,0.9674969757137081,0,Human
18,-9.61236,Macrophage,0.958716,hIL4,0.9916767396957644,0,Human
19,-9.0103,Macrophage,1.001954,hIL4,0.9979122323636889,0,Human
20,-8.40824,Macrophage,0.9649466,hIL4,0.9994833859178925,0,Human
21,-7.80618,Macrophage,0.9964085,hIL4,0.9998769481804145,0,Human
22,-7.20412,Macrophage,1.057167,hIL4,0.9999753872118422,0,Human
23,-6.60206,Macrophage,1.0189,hIL4,1.0,0,Human
24,-13.2247,Macrophage,0.01644902,hIL4,0.028259275869463384,0,Human
25,-12.6227,Macrophage,0.00237511,hIL4,0.10418511358768086,0,Human
26,-12.0206,Macrophage,0.00745674,hIL4,0.3174907511158223,0,Human
27,-11.4185,Macrophage,0.07935078,hIL4,0.6504080341396163,0,Human
28,-10.8165,Macrophage,0.37649360000000004,hIL4,0.881516572643625,0,Human
29,-10.2144,Macrophage,0.8291343999999999,hIL4,0.9674969757137081,0,Human
30,-9.61236,Macrophage,0.958716,hIL4,0.9916767396957644,0,Human
31,-9.0103,Macrophage,1.001954,hIL4,0.9979122323636889,0,Human
32,-8.40824,Macrophage,0.9649466,hIL4,0.9994833859178925,0,Human
33,-7.80618,Macrophage,0.9964085,hIL4,0.9998769481804145,0,Human
34,-7.20412,Macrophage,1.057167,hIL4,0.9999753872118422,0,Human
35,-6.60206,Macrophage,1.0189,hIL4,1.0,0,Human
36,-13.00336125,Macrophage,0.02782013215,hIL4,0.04617557658657551,0,Human
