,Concentration,Cell,Experimental,Ligand,Predicted,Donor,Animal
37,-12.22521,Macrophage,0.03341982541,hIL4,0.22506414172628667,0,Human
38,-11.44705875,Macrophage,0.05695993723,hIL4,0.6353143292219099,0,Human
39,-10.6689075,Macrophage,0.3662627397,hIL4,0.9126729652751855,0,Human
40,-9.890756252,Macrophage,0.8179475519,hIL4,0.9843090347532176,0,Human
41,-9.112605002,Macrophage,0.9944627237,hIL4,0.997356967107522,0,Human
42,-8.334453751,Macrophage,1.029808558,hIL4,0.9995653525211784,0,Human
43,-7.556302501,Macrophage,1.052028997,hIL4,0.9999343685956082,0,Human
44,-13.00336125,Macrophage,0.025822789319999997,hIL4,0.04617557658657551,0,Human
45,-12.22521,Macrophage,0.02689279441,hIL4,0.22506414172628667,0,Human
46,-11.44705875,Macrophage,0.03948318755,hIL4,0.6353143292219099,0,Human
47,-10.6689075,Macrophage,0.4049255901,hIL4,0.9126729652751855,0,Human
48,-9.890756252,Macrophage,0.9188133643999999,hIL4,0.9843090347532176,0,Human
49,-9.112605002,Macrophage,0.9178503598000001,hIL4,0.997356967107522,0,Human
50,-8.334453751,Macrophage,0.9816226627,hIL4,0.9995653525211784,0,Human
51,-7.556302501,Macrophage,0.9365397819000001,hIL4,0.9999343685956082,0,Human
52,-13.00336125,Macrophage,0.022862441929999998,hIL4,0.04617557658657551,0,Human
53,-12.22521,Macrophage,0.0238254465,hIL4,0.22506414172628667,0,Human
54,-11.44705875,Macrophage,0.04633122007,hIL4,0.6353143292219099,0,Human
55,-10.6689075,Macrophage,0.3984698927,hIL4,0.9126729652751855,0,Human
56,-9.890756252,Macrophage,0.9307260876,hIL4,0.9843090347532176,0,Human
57,-9.112605002,Macrophage,0.7735780078000001,hIL4,0.997356967107522,0,Human
58,-8.334453751,Macrophage,0.9607575636,hIL4,0.9995653525211784,0,Human
59,-7.556302501,Macrophage,0.9664999242000001,hIL4,0.9999343685956082,0,Human
60,-13.00336125,Macrophage,0.08306106531999999,hIL4,0.04617557658657551,0,Human
61,-12.22521,Macrophage,0.058999599500000006,hIL4,0.22506414172628667,0,Human
62,-11.44705875,Macrophage,0.07597858393,hIL4,0.6353143292219099,0,Human
63,-10.6689075,Macrophage,0.3156130773,hIL4,0.9126729652751855,0,Human
64,-9.890756252,Macrophage,0.8729158323,hIL4,0.9843090347532176,0,Human
65,-9.112605002,Macrophage,1.0688223270000001,hIL4,0.997356967107522,0,Human
66,-8.334453751,Macrophage,0.9776986151,hIL4,0.9995653525211784,0,Human
67,-7.556302501,Macrophage,0.9989144410999999,hIL4,0.9999343685956082,0,Human
68,-13.00336125,Macrophage,0.07885584199000001,hIL4,0.04617557658657551,0,Human
69,-12.22521,Macrophage,0.0554583588,hIL4,0.22506414172628667,0,Human
70,-11.44705875,Macrophage,0.07057186822,hIL4,0.6353143292219099,0,Human
71,-10.6689075,Macrophage,0.317288843,hIL4,0.9126729652751855,0,Human
72,-9.890756252,Macrophage,0.8476844923,hIL4,0.9843090347532176,0,Human
73,-9.112605002,Macrophage,1.043907169,hIL4,0.997356967107522,0,Human
74,-8.334453751,Macrophage,0.9847178601000001,hIL4,0.9995653525211784,0,Human
75,-7.556302501,Macrophage,1.021268523,hIL4,0.9999343685956082,0,Human
76,-13.00336125,Macrophage,0.07781244072,hIL4,0.04617557658657551,0,Human
77,-12.22521,Macrophage,0.044581690939999995,hIL4,0.22506414172628667,0,Human
78,-11.44705875,Macrophage,0.06782108303,hIL4,0.6353143292219099,0,Human
79,-10.6689075,Macrophage,0.2894015725,hIL4,0.9126729652751855,0,Human
80,-9.890756252,Macrophage,0.8356695685,hIL4,0.9843090347532176,0,Human
81,-9.112605002,Macrophage,0.9033641787000001,hIL4,0.997356967107522,0,Human
82,-8.334453751,Macrophage,1.004921903,hIL4,0.9995653525211784,0,Human
83,-7.556302501,Macrophage,1.012478658,hIL4,0.9999343685956082,0,Human
84,-13.00336125,Macrophage,0.04520969751,hIL4,0.04617557658657551,0,Human
85,-12.22521,Macrophage,0.00621184453,hIL4,0.22506414172628667,0,Human
86,-11.44705875,Macrophage,0.05893229624,hIL4,0.6353143292219099,0,Human
87,-10.6689075,Macrophage,0.407437404,hIL4,0.9126729652751855,0,Human
88,-9.890756252,Macrophage,0.8511449507000001,hIL4,0.9843090347532176,0,Human
89,-9.112605002,Macrophage,0.9412740012,hIL4,0.997356967107522,0,Human
90,-8.334453751,Macrophage,0.9779796606,hIL4,0.9995653525211784,0,Human
91,-7.556302501,Macrophage,1.032442179,hIL4,0.9999343685956082,0,Human
92,-13.00336125,Macrophage,0.03069247167,hIL4,0.04617557658657551,0,Human
93,-12.22521,Macrophage,0.00706759679,hIL4,0.22506414172628667,0,Human
94,-11.44705875,Macrophage,0.05835160721,hIL4,0.6353143292219099,0,Human
95,-10.6689075,Macrophage,0.42467469950000003,hIL4,0.9126729652751855,0,Human
96,-9.890756252,Macrophage,0.8742808243,hIL4,0.9843090347532176,0,Human
97,-9.112605002,Macrophage,0.9823195470999999,hIL4,0.997356967107522,0,Human
98,-8.334453751,Macrophage,1.037087692,hIL4,0.9995653525211784,0,Human
99,-7.556302501,Macrophage,0.9524904683,hIL4,0.9999343685956082,0,Human
0,-12.6227,Macrophage,0.01004175,hNeo4,2.9969640742998833e-06,0,Human
1,-12.0206,Macrophage,0.0,hNeo4,1.1988851849045137e-05,0,Human
2,-11.4185,Macrophage,0.0,hNeo4,4.795808339940666e-05,0,Human
3,-10.8165,Macrophage,0.0,hNeo4,0.00019177797931512286,0,Human
4,-10.2144,Macrophage,0.00257396,hNeo4,0.0007667370796362547,0,Human
5,-9.61236,Macrophage,0.02073527,hNeo4,0.0030597006262362615,0,Human
6,-9.0103,Macrophage,0.07946125,hNeo4,0.012126402622669681,0,Human
7,-8.40824,Macrophage,0.1563264,hNeo4,0.04678689823275452,0,Human
8,-7.80618,Macrophage,0.17755880000000002,hNeo4,0.16391672194611842,0,Human
9,-7.20412,Macrophage,0.2432002,hNeo4,0.4381482199574397,0,Human
10,-6.60206,Macrophage,0.2492098,hNeo4,0.7532186751934791,0,Human
11,-6.0,Macrophage,0.2788821,hNeo4,0.9183402568609558,0,Human
12,-12.6227,Macrophage,0.0067718299999999995,hNeo4,2.9969640742998833e-06,0,Human
13,-12.0206,Macrophage,0.0,hNeo4,1.1988851849045137e-05,0,Human
14,-11.4185,Macrophage,0.0,hNeo4,4.795808339940666e-05,0,Human
15,-10.8165,Macrophage,0.0,hNeo4,0.00019177797931512286,0,Human
16,-10.2144,Macrophage,0.0,hNeo4,0.0007667370796362547,0,Human
17,-9.61236,Macrophage,0.00904751,hNeo4,0.0030597006262362615,0,Human
18,-9.0103,Macrophage,0.057389289999999996,hNeo4,0.012126402622669681,0,Human
19,-8.40824,Macrophage,0.1370162,hNeo4,0.04678689823275452,0,Human
20,-7.80618,Macrophage,0.19006409999999999,hNeo4,0.16391672194611842,0,Human
21,-7.20412,Macrophage,0.2265192,hNeo4,0.4381482199574397,0,Human
22,-6.60206,Macrophage,0.2559706,hNeo4,0.7532186751934791,0,Human
23,-6.0,Macrophage,0.2502041,hNeo4,0.9183402568609558,0,Human
24,-12.6227,Macrophage,0.00451823,hNeo4,2.9969640742998833e-06,0,Human
25,-12.0206,Macrophage,0.0,hNeo4,1.1988851849045137e-05,0,Human
26,-11.4185,Macrophage,0.0,hNeo4,4.795808339940666e-05,0,Human
27,-10.8165,Macrophage,0.0,hNeo4,0.00019177797931512286,0,Human
28,-10.2144,Macrophage,0.0,hNeo4,0.0007667370796362547,0,Human
29,-9.61236,Macrophage,0.010108029999999999,hNeo4,0.0030597006262362615,0,Human
30,-9.0103,Macrophage,0.06430473,hNeo4,0.012126402622669681,0,Human
31,-8.40824,Macrophage,0.1276263,hNeo4,0.04678689823275452,0,Human
32,-7.80618,Macrophage,0.17470870000000002,hNeo4,0.16391672194611842,0,Human
33,-7.20412,Macrophage,0.221526,hNeo4,0.4381482199574397,0,Human
34,-6.60206,Macrophage,0.23776509999999998,hNeo4,0.7532186751934791,0,Human
35,-6.0,Macrophage,0.26525010000000004,hNeo4,0.9183402568609558,0,Human
36,-11.44705875,Macrophage,0.01201972376,hNeo4,4.490600363271584e-05,0,Human
37,-10.6689075,Macrophage,0.01094971868,hNeo4,0.00026937494575121726,0,Human
38,-9.890756252,Macrophage,0.02578712249,hNeo4,0.0016140544223226816,0,Human
39,-9.112605002,Macrophage,0.03748584472,hNeo4,0.00960604340427959,0,Human
40,-8.334453751,Macrophage,0.08506540405999999,hNeo4,0.05497021972365758,0,Human
41,-7.556302501,Macrophage,0.168632801,hNeo4,0.2581756125305948,0,Human
42,-6.77815125,Macrophage,0.1697384729,hNeo4,0.6726012476117982,0,Human
43,-6.0,Macrophage,0.19042523790000002,hNeo4,0.9183402568609558,0,Human
44,-11.44705875,Macrophage,0.01387439924,hNeo4,4.490600363271584e-05,0,Human
45,-10.6689075,Macrophage,0.0138387324,hNeo4,0.00026937494575121726,0,Human
46,-9.890756252,Macrophage,0.01747674968,hNeo4,0.0016140544223226816,0,Human
47,-9.112605002,Macrophage,0.02660745972,hNeo4,0.00960604340427959,0,Human
48,-8.334453751,Macrophage,0.1117441975,hNeo4,0.05497021972365758,0,Human
49,-7.556302501,Macrophage,0.1526897253,hNeo4,0.2581756125305948,0,Human
50,-6.77815125,Macrophage,0.16089309759999998,hNeo4,0.6726012476117982,0,Human
51,-6.0,Macrophage,0.17230648510000002,hNeo4,0.9183402568609558,0,Human
52,-11.44705875,Macrophage,0.005920694789999999,hNeo4,4.490600363271584e-05,0,Human
53,-10.6689075,Macrophage,0.00920204371,hNeo4,0.00026937494575121726,0,Human
54,-9.890756252,Macrophage,0.01647807827,hNeo4,0.0016140544223226816,0,Human
55,-9.112605002,Macrophage,0.02910413824,hNeo4,0.00960604340427959,0,Human
56,-8.334453751,Macrophage,0.06230996264,hNeo4,0.05497021972365758,0,Human
57,-7.556302501,Macrophage,0.1326449634,hNeo4,0.2581756125305948,0,Human
58,-6.77815125,Macrophage,0.1596804251,hNeo4,0.6726012476117982,0,Human
59,-6.0,Macrophage,0.1634967766,hNeo4,0.9183402568609558,0,Human
60,-11.44705875,Macrophage,0.0,hNeo4,4.490600363271584e-05,0,Human
61,-10.6689075,Macrophage,0.0,hNeo4,0.00026937494575121726,0,Human
62,-9.890756252,Macrophage,0.0,hNeo4,0.0016140544223226816,0,Human
63,-9.112605002,Macrophage,0.0,hNeo4,0.00960604340427959,0,Human
64,-8.334453751,Macrophage,0.0,hNeo4,0.05497021972365758,0,Human
65,-7.556302501,Macrophage,0.038467568540000004,hNeo4,0.2581756125305948,0,Human
66,-6.77815125,Macrophage,0.07565848414000001,hNeo4,0.6726012476117982,0,Human
67,-6.0,Macrophage,0.07841336678000001,hNeo4,0.9183402568609558,0,Human
68,-11.44705875,Macrophage,0.0,hNeo4,4.490600363271584e-05,0,Human
69,-10.6689075,Macrophage,0.0,hNeo4,0.00026937494575121726,0,Human
70,-9.890756252,Macrophage,0.0,hNeo4,0.0016140544223226816,0,Human
71,-9.112605002,Macrophage,0.0,hNeo4,0.00960604340427959,0,Human
72,-8.334453751,Macrophage,0.0,hNeo4,0.05497021972365758,0,Human
73,-7.556302501,Macrophage,0.034839186529999996,hNeo4,0.2581756125305948,0,Human
74,-6.77815125,Macrophage,0.05721420892,hNeo4,0.6726012476117982,0,Human
75,-6.0,Macrophage,0.06195126321,hNeo4,0.9183402568609558,0,Human
76,-11.44705875,Macrophage,0.0,hNeo4,4.490600363271584e-05,0,Human
77,-10.6689075,Macrophage,0.0,hNeo4,0.00026937494575121726,0,Human
78,-9.890756252,Macrophage,0.0,hNeo4,0.0016140544223226816,0,Human
79,-9.112605002,Macrophage,0.0,hNeo4,0.00960604340427959,0,Human
80,-8.334453751,Macrophage,0.0,hNeo4,0.05497021972365758,0,Human
81,-7.556302501,Macrophage,0.03016932449,hNeo4,0.2581756125305948,0,Human
82,-6.77815125,Macrophage,0.0381987995,hNeo4,0.6726012476117982,0,Human
83,-6.0,Macrophage,0.034872782660000004,hNeo4,0.9183402568609558,0,Human
84,-10.6689075,Macrophage,0.0,hNeo4,0.00026937494575121726,0,Human
85,-9.890756252,Macrophage,0.0,hNeo4,0.0016140544223226816,0,Human
86,-9.112605002,Macrophage,0.02564964586,hNeo4,0.00960604340427959,0,Human
87,-8.334453751,Macrophage,0.1528511067,hNeo4,0.05497021972365758,0,Human
