,Ligand,Experimental IL4Ra KD,Inferred IL4Ra Affinity
0,hIL4,0.815,94813.60252476718
1,hNeo4,2.53,8511.93550648548
2,mIL4,2.31,997567.5351593494
3,mNeo4,23.3,1000000.0
