,Cell,Animal,Predicted,Ligand,Concentration
0,Ramos,Human,8.084948766907886e-05,hIL4,-14.67969757
1,Ramos,Human,8.577480532015888e-05,hIL4,-14.654012962742476
2,Ramos,Human,9.100014400728654e-05,hIL4,-14.62832835548495
3,Ramos,Human,9.654377579922392e-05,hIL4,-14.602643748227425
4,Ramos,Human,0.00010242508515143742,hIL4,-14.5769591409699
5,Ramos,Human,0.00010866463657315296,hIL4,-14.551274533712375
6,Ramos,Human,0.00011528424640385609,hIL4,-14.525589926454849
7,Ramos,Human,0.00012230705894794006,hIL4,-14.499905319197325
8,Ramos,Human,0.0001297576272311755,hIL4,-14.4742207119398
9,Ramos,Human,0.00013766199865848286,hIL4,-14.448536104682274
10,Ramos,Human,0.0001460478058692681,hIL4,-14.42285149742475
11,Ramos,Human,0.00015494436310433988,hIL4,-14.397166890167224
12,Ramos,Human,0.0001643827684172039,hIL4,-14.3714822829097
13,Ramos,Human,0.00017439601208246627,hIL4,-14.345797675652173
14,Ramos,Human,0.00018501909157510744,hIL4,-14.32011306839465
15,Ramos,Human,0.00019628913351672864,hIL4,-14.294428461137123
16,Ramos,Human,0.0002082455230084296,hIL4,-14.268743853879599
17,Ramos,Human,0.00022093004079498717,hIL4,-14.243059246622074
18,Ramos,Human,0.00023438700873138583,hIL4,-14.217374639364548
19,Ramos,Human,0.0002486634440507108,hIL4,-14.191690032107024
20,Ramos,Human,0.00026380922296197163,hIL4,-14.166005424849498
21,Ramos,Human,0.0002798772541376297,hIL4,-14.140320817591974
22,Ramos,Human,0.00029692366268368466,hIL4,-14.114636210334448
23,Ramos,Human,0.0003150079852200118,hIL4,-14.088951603076923
24,Ramos,Human,0.00033419337673559193,hIL4,-14.063266995819397
25,Ramos,Human,0.0003545468299221502,hIL4,-14.037582388561873
26,Ramos,Human,0.0003761394077309358,hIL4,-14.011897781304349
27,Ramos,Human,0.000399046489940728,hIL4,-13.986213174046823
28,Ramos,Human,0.00042334803457102035,hIL4,-13.960528566789298
29,Ramos,Human,0.0004491288550226947,hIL4,-13.934843959531772
30,Ramos,Human,0.00047647891387941633,hIL4,-13.909159352274248
