,Experimental,Ligand,Predicted,Cell,Donor,Animal,Concentration
0,0.0,hIL4,5.4534923208610555e-05,Ramos,0,Human,-14.2247
1,0.0,hIL4,0.00043609826526543906,Ramos,0,Human,-13.3216
2,0.00421297,hIL4,0.00347668401790329,Ramos,0,Human,-12.4185
3,0.1441065,hIL4,0.02706077342544712,Ramos,0,Human,-11.5154
4,0.7450629000000001,hIL4,0.17860882410554466,Ramos,0,Human,-10.6124
5,1.0326,hIL4,0.6190205251027671,Ramos,0,Human,-9.70927
6,1.046745,hIL4,0.9259943764309931,Ramos,0,Human,-8.80618
7,0.922063,hIL4,0.9910984586439316,Ramos,0,Human,-7.90309
8,0.9974775,hIL4,1.0,Ramos,0,Human,-7.0
9,0.0,hIL4,5.4534923208610555e-05,Ramos,0,Human,-14.2247
10,0.0,hIL4,0.00043609826526543906,Ramos,0,Human,-13.3216
11,0.00523566,hIL4,0.00347668401790329,Ramos,0,Human,-12.4185
12,0.1465092,hIL4,0.02706077342544712,Ramos,0,Human,-11.5154
13,0.7522217000000001,hIL4,0.17860882410554466,Ramos,0,Human,-10.6124
14,1.0438129999999999,hIL4,0.6190205251027671,Ramos,0,Human,-9.70927
15,1.101762,hIL4,0.9259943764309931,Ramos,0,Human,-8.80618
16,0.9844412,hIL4,0.9910984586439316,Ramos,0,Human,-7.90309
17,1.019096,hIL4,1.0,Ramos,0,Human,-7.0
18,0.03150859,hIL4,0.00019125223122558836,Ramos,0,Human,-13.6797
19,0.01470401,hIL4,0.0017180838456686011,Ramos,0,Human,-12.7255
20,0.037237429999999995,hIL4,0.015224974530293674,Ramos,0,Human,-11.7712
21,0.46288989999999997,hIL4,0.12045708436268165,Ramos,0,Human,-10.817
22,1.053151,hIL4,0.5361893105701557,Ramos,0,Human,-9.86273
23,1.0812220000000001,hIL4,0.9081222638223723,Ramos,0,Human,-8.90849
24,1.010376,hIL4,0.9898420132813301,Ramos,0,Human,-7.95424
25,1.0583069999999999,hIL4,1.0,Ramos,0,Human,-7.0
26,0.02598342,hIL4,0.00019125223122558836,Ramos,0,Human,-13.6797
27,0.004775,hIL4,0.0017180838456686011,Ramos,0,Human,-12.7255
28,0.03181264,hIL4,0.015224974530293674,Ramos,0,Human,-11.7712
29,0.4510201,hIL4,0.12045708436268165,Ramos,0,Human,-10.817
30,1.0893810000000002,hIL4,0.5361893105701557,Ramos,0,Human,-9.86273
31,1.128449,hIL4,0.9081222638223723,Ramos,0,Human,-8.90849
32,1.058623,hIL4,0.9898420132813301,Ramos,0,Human,-7.95424
