,Model,% Available IL13Rα,Prediction Accuracy (MSE),Ligand
0,Multivalent,31.999999999999996,0.030021838996277805,hIL4
0,Multivalent,31.999999999999996,0.019687072041113005,hIL13
0,Multivalent,31.999999999999996,0.06457403486071842,hNeo4
0,Multivalent,29.999999999999993,0.029994489244557117,hIL4
0,Multivalent,29.999999999999993,0.01967265880867143,hIL13
0,Multivalent,29.999999999999993,0.06457385848176898,hNeo4
0,Multivalent,28.000000000000004,0.0300643827102297,hIL4
0,Multivalent,28.000000000000004,0.01972582898113608,hIL13
0,Multivalent,28.000000000000004,0.06457368210392468,hNeo4
0,Multivalent,26.0,0.03023151926898038,hIL4
0,Multivalent,26.0,0.019846582467753317,hIL13
0,Multivalent,26.0,0.06457350572718377,hNeo4
0,Multivalent,24.0,0.030495898796494364,hIL4
0,Multivalent,24.0,0.020034919177752346,hIL13
0,Multivalent,24.0,0.06457332935154692,hNeo4
0,Multivalent,21.999999999999996,0.030857521168457087,hIL4
0,Multivalent,21.999999999999996,0.020290839020372674,hIL13
0,Multivalent,21.999999999999996,0.06457315297701433,hNeo4
0,Multivalent,19.999999999999996,0.03131638626055402,hIL4
0,Multivalent,19.999999999999996,0.020614341904852385,hIL13
0,Multivalent,19.999999999999996,0.06457297660358456,hNeo4
0,Multivalent,17.999999999999993,0.03187249394847095,hIL4
0,Multivalent,17.999999999999993,0.02100542774042898,hIL13
0,Multivalent,17.999999999999993,0.06457280023126012,hNeo4
0,Multivalent,16.000000000000004,0.032525844107894,hIL4
0,Multivalent,16.000000000000004,0.021464096436334092,hIL13
0,Multivalent,16.000000000000004,0.06457262386003895,hNeo4
0,Multivalent,14.000000000000002,0.03327643661450924,hIL4
0,Multivalent,14.000000000000002,0.021990347901813177,hIL13
0,Multivalent,14.000000000000002,0.06457244748992186,hNeo4
0,Multivalent,12.0,0.03412427134400308,hIL4
0,Multivalent,12.0,0.02258418204609876,hIL13
0,Multivalent,12.0,0.06457227112090823,hNeo4
0,Multivalent,9.999999999999998,0.035069348172062684,hIL4
0,Multivalent,9.999999999999998,0.02324559877842948,hIL13
0,Multivalent,9.999999999999998,0.06457209475299999,hNeo4
0,Multivalent,7.9999999999999964,0.036111666974374394,hIL4
0,Multivalent,7.9999999999999964,0.023974598008042625,hIL13
0,Multivalent,7.9999999999999964,0.06457191838619507,hNeo4
0,Multivalent,5.999999999999995,0.0372512276266256,hIL4
0,Multivalent,5.999999999999995,0.024771179644177296,hIL13
0,Multivalent,5.999999999999995,0.06457174202049393,hNeo4
0,Multivalent,4.0000000000000036,0.03848803000450353,hIL4
0,Multivalent,4.0000000000000036,0.025635343596072457,hIL13
0,Multivalent,4.0000000000000036,0.06457156565589679,hNeo4
0,Multivalent,2.0000000000000018,0.03982207398369575,hIL4
0,Multivalent,2.0000000000000018,0.026567089772964243,hIL13
0,Multivalent,2.0000000000000018,0.0645713892924034,hNeo4
0,Multivalent,0.0,0.041253359439890204,hIL4
0,Multivalent,0.0,0.02756641808409504,hIL13
0,Multivalent,0.0,0.0645712129300139,hNeo4
