,Cell,Animal,Predicted,Ligand,Concentration
0,Ramos,Human,8.116413908647007e-05,hIL4,-14.67969757
1,Ramos,Human,8.610862351715134e-05,hIL4,-14.654012962742476
2,Ramos,Human,9.135429630213167e-05,hIL4,-14.62832835548495
3,Ramos,Human,9.691950057682004e-05,hIL4,-14.602643748227425
4,Ramos,Human,0.00010282369618652495,hIL4,-14.5769591409699
5,Ramos,Human,0.00010908752761608013,hIL4,-14.551274533712375
6,Ramos,Human,0.0001157328960448101,hIL4,-14.525589926454849
7,Ramos,Human,0.00012278303577649234,hIL4,-14.499905319197325
8,Ramos,Human,0.00013026259530900423,hIL4,-14.4742207119398
9,Ramos,Human,0.00013819772332420566,hIL4,-14.448536104682274
10,Ramos,Human,0.0001466161598954538,hIL4,-14.42285149742475
11,Ramos,Human,0.00015554733322797074,hIL4,-14.397166890167224
12,Ramos,Human,0.0001650224622661315,hIL4,-14.3714822829097
13,Ramos,Human,0.0001750746655217523,hIL4,-14.345797675652173
14,Ramos,Human,0.000185739076498566,hIL4,-14.32011306839465
15,Ramos,Human,0.0001970529661104969,hIL4,-14.294428461137123
16,Ramos,Human,0.00020905587251498933,hIL4,-14.268743853879599
17,Ramos,Human,0.0002217897388077516,hIL4,-14.243059246622074
18,Ramos,Human,0.00023529905905175148,hIL4,-14.217374639364548
19,Ramos,Human,0.0002496310331413651,hIL4,-14.191690032107024
20,Ramos,Human,0.00026483573103224764,hIL4,-14.166005424849498
21,Ramos,Human,0.00028096626689880997,hIL4,-14.140320817591974
22,Ramos,Human,0.00029807898381439124,hIL4,-14.114636210334448
23,Ramos,Human,0.000316233649584181,hIL4,-14.088951603076923
24,Ramos,Human,0.00033549366439802224,hIL4,-14.063266995819397
25,Ramos,Human,0.0003559262810092494,hIL4,-14.037582388561873
26,Ramos,Human,0.00037760283818707074,hIL4,-14.011897781304349
27,Ramos,Human,0.0004005990082335159,hIL4,-13.986213174046823
28,Ramos,Human,0.0004249950594019981,hIL4,-13.960528566789298
29,Ramos,Human,0.000450876134103067,hIL4,-13.934843959531772
30,Ramos,Human,0.00047833254383402755,hIL4,-13.909159352274248
