,Experimental,Ligand,Predicted,Cell,Animal,Concentration
0,0.0,hIL4,0.0002304675992548823,Ramos,Human,-14.2247
1,0.0,hIL4,0.0018408145898882978,Ramos,Human,-13.3216
2,0.00421297,hIL4,0.014539568264101296,Ramos,Human,-12.4185
3,0.1441065,hIL4,0.10557756487521595,Ramos,Human,-11.5154
4,0.7450629000000001,hIL4,0.4857060130282133,Ramos,Human,-10.6124
5,1.0326,hIL4,0.8833759946531442,Ramos,Human,-9.70927
6,1.046745,hIL4,0.9840778324615336,Ramos,Human,-8.80618
7,0.922063,hIL4,0.99829117278828,Ramos,Human,-7.90309
8,0.9974775,hIL4,1.0,Ramos,Human,-7.0
9,0.0,hIL4,0.0002304675992548823,Ramos,Human,-14.2247
10,0.0,hIL4,0.0018408145898882978,Ramos,Human,-13.3216
11,0.00523566,hIL4,0.014539568264101296,Ramos,Human,-12.4185
12,0.1465092,hIL4,0.10557756487521595,Ramos,Human,-11.5154
13,0.7522217000000001,hIL4,0.4857060130282133,Ramos,Human,-10.6124
14,1.0438129999999999,hIL4,0.8833759946531442,Ramos,Human,-9.70927
15,1.101762,hIL4,0.9840778324615336,Ramos,Human,-8.80618
16,0.9844412,hIL4,0.99829117278828,Ramos,Human,-7.90309
17,1.019096,hIL4,1.0,Ramos,Human,-7.0
18,0.03150859,hIL4,0.0008079027079629894,Ramos,Human,-13.6797
19,0.01470401,hIL4,0.007223746478596502,Ramos,Human,-12.7255
20,0.037237429999999995,hIL4,0.06147072258474318,Ramos,Human,-11.7712
21,0.46288989999999997,hIL4,0.3708826693390406,Ramos,Human,-10.817
22,1.053151,hIL4,0.8416565976969078,Ramos,Human,-9.86273
23,1.0812220000000001,hIL4,0.979839348500816,Ramos,Human,-8.90849
24,1.010376,hIL4,0.9980351125396928,Ramos,Human,-7.95424
25,1.0583069999999999,hIL4,1.0,Ramos,Human,-7.0
26,0.02598342,hIL4,0.0008079027079629894,Ramos,Human,-13.6797
27,0.004775,hIL4,0.007223746478596502,Ramos,Human,-12.7255
28,0.03181264,hIL4,0.06147072258474318,Ramos,Human,-11.7712
29,0.4510201,hIL4,0.3708826693390406,Ramos,Human,-10.817
30,1.0893810000000002,hIL4,0.8416565976969078,Ramos,Human,-9.86273
31,1.128449,hIL4,0.979839348500816,Ramos,Human,-8.90849
32,1.058623,hIL4,0.9980351125396928,Ramos,Human,-7.95424
33,1.1301860000000001,hIL4,1.0,Ramos,Human,-7.0
34,0.014945120000000001,hIL4,0.0008079027079629894,Ramos,Human,-13.6797
35,0.00043409000000000004,hIL4,0.007223746478596502,Ramos,Human,-12.7255
36,0.02337888,hIL4,0.06147072258474318,Ramos,Human,-11.7712
37,0.44481879999999996,hIL4,0.3708826693390406,Ramos,Human,-10.817
38,1.0534139999999999,hIL4,0.8416565976969078,Ramos,Human,-9.86273
39,1.075738,hIL4,0.979839348500816,Ramos,Human,-8.90849
40,1.0026869999999999,hIL4,0.9980351125396928,Ramos,Human,-7.95424
41,1.091366,hIL4,1.0,Ramos,Human,-7.0
42,0.03850394743,hIL4,8.084948766907886e-05,Ramos,Human,-14.67969757
43,0.0017201076200000001,hIL4,0.00072717523045129,Ramos,Human,-13.72545506
44,0.0,hIL4,0.006506738807747301,Ramos,Human,-12.77121255
45,0.03047677855,hIL4,0.05566418551990638,Ramos,Human,-11.81697004
46,0.3777620959,hIL4,0.34666176633691903,Ramos,Human,-10.86272753
47,1.0510739649999998,hIL4,0.8270774009025181,Ramos,Human,-9.908485019
48,0.946015084,hIL4,0.977610489590051,Ramos,Human,-8.954242509
49,1.002910951,hIL4,0.9977788462841766,Ramos,Human,-8.0
50,0.01240457459,hIL4,8.084948766907886e-05,Ramos,Human,-14.67969757
51,0.09027870927000001,hIL4,0.00072717523045129,Ramos,Human,-13.72545506
52,0.0038665881299999997,hIL4,0.006506738807747301,Ramos,Human,-12.77121255
53,0.02885069604,hIL4,0.05566418551990638,Ramos,Human,-11.81697004
