,Ligand,Receptor,$K_D$
0,mIL4,gc,-3.979445158968544
0,mIL4,IL13Rα,-1.6555710018714431
0,mNeo4,gc,-0.8749550826342134
0,hIL4,gc,3.999940699062753
0,hIL4,IL13Rα,1.4575851865968326
0,hNeo4,gc,3.999819786993565
0,hIL13,IL4Rα,-3.424281210251968
