,Cell,Animal,Predicted,Ligand,Concentration
0,Ramos,Human,2.3633258518718046e-06,hIL4,-14.67969757
1,Ramos,Human,2.507310659399765e-06,hIL4,-14.654012962742476
2,Ramos,Human,2.6600676667784207e-06,hIL4,-14.62832835548495
3,Ramos,Human,2.822131312654323e-06,hIL4,-14.602643748227425
4,Ramos,Human,2.994068595496126e-06,hIL4,-14.5769591409699
5,Ramos,Human,3.176481057201043e-06,hIL4,-14.551274533712375
6,Ramos,Human,3.370006887540476e-06,hIL4,-14.525589926454849
7,Ramos,Human,3.5753231568050286e-06,hIL4,-14.499905319197325
8,Ramos,Human,3.7931481844581843e-06,hIL4,-14.4742207119398
9,Ramos,Human,4.024244052082675e-06,hIL4,-14.448536104682274
10,Ramos,Human,4.269419269408594e-06,hIL4,-14.42285149742475
11,Ramos,Human,4.529531602747489e-06,hIL4,-14.397166890167224
12,Ramos,Human,4.805491075723871e-06,hIL4,-14.3714822829097
13,Ramos,Human,5.098263152798871e-06,hIL4,-14.345797675652173
14,Ramos,Human,5.408872116718567e-06,hIL4,-14.32011306839465
15,Ramos,Human,5.738404651698647e-06,hIL4,-14.294428461137123
16,Ramos,Human,6.088013644874818e-06,hIL4,-14.268743853879599
17,Ramos,Human,6.458922219312631e-06,hIL4,-14.243059246622074
18,Ramos,Human,6.852428012678337e-06,hIL4,-14.217374639364548
19,Ramos,Human,7.26990771653173e-06,hIL4,-14.191690032107024
20,Ramos,Human,7.712821892112631e-06,hIL4,-14.166005424849498
21,Ramos,Human,8.182720079457865e-06,hIL4,-14.140320817591974
22,Ramos,Human,8.681246217711945e-06,hIL4,-14.114636210334448
23,Ramos,Human,9.210144395579962e-06,hIL4,-14.088951603076923
24,Ramos,Human,9.771264952026526e-06,hIL4,-14.063266995819397
25,Ramos,Human,1.0366570948545724e-05,hIL4,-14.037582388561873
26,Ramos,Human,1.0998145035627046e-05,hIL4,-14.011897781304349
27,Ramos,Human,1.1668196737416798e-05,hIL4,-13.986213174046823
28,Ramos,Human,1.2379070180035897e-05,hIL4,-13.960528566789298
29,Ramos,Human,1.3133252290564238e-05,hIL4,-13.934843959531772
30,Ramos,Human,1.3933381495342935e-05,hIL4,-13.909159352274248
31,Ramos,Human,1.4782256947991504e-05,hIL4,-13.883474745016722
32,Ramos,Human,1.5682848319382236e-05,hIL4,-13.857790137759197
33,Ramos,Human,1.663830618377852e-05,hIL4,-13.832105530501673
34,Ramos,Human,1.76519730374204e-05,hIL4,-13.806420923244147
35,Ramos,Human,1.8727394988048832e-05,hIL4,-13.780736315986623
36,Ramos,Human,1.986833415620012e-05,hIL4,-13.755051708729097
37,Ramos,Human,2.1078781831581447e-05,hIL4,-13.729367101471572
38,Ramos,Human,2.2362972430474686e-05,hIL4,-13.703682494214046
39,Ramos,Human,2.3725398302902834e-05,hIL4,-13.677997886956522
40,Ramos,Human,2.5170825441259423e-05,hIL4,-13.652313279698998
41,Ramos,Human,2.6704310145237123e-05,hIL4,-13.626628672441472
42,Ramos,Human,2.833121670122507e-05,hIL4,-13.600944065183947
43,Ramos,Human,3.005723613787718e-05,hIL4,-13.575259457926421
44,Ramos,Human,3.188840612329558e-05,hIL4,-13.549574850668897
45,Ramos,Human,3.383113207325213e-05,hIL4,-13.52389024341137
46,Ramos,Human,3.589220954407611e-05,hIL4,-13.498205636153846
47,Ramos,Human,3.807884798831149e-05,hIL4,-13.47252102889632
48,Ramos,Human,4.039869595597545e-05,hIL4,-13.446836421638796
49,Ramos,Human,4.285986782928173e-05,hIL4,-13.421151814381272
50,Ramos,Human,4.5470972184010124e-05,hIL4,-13.395467207123746
51,Ramos,Human,4.8241141876355534e-05,hIL4,-13.369782599866221
52,Ramos,Human,5.118006596007774e-05,hIL4,-13.344097992608695
53,Ramos,Human,5.429802354511462e-05,hIL4,-13.318413385351171
54,Ramos,Human,5.7605919715561415e-05,hIL4,-13.292728778093645
55,Ramos,Human,6.111532363204093e-05,hIL4,-13.26704417083612
56,Ramos,Human,6.483850895106545e-05,hIL4,-13.241359563578595
57,Ramos,Human,6.878849670199432e-05,hIL4,-13.21567495632107
58,Ramos,Human,7.297910077070282e-05,hIL4,-13.189990349063546
59,Ramos,Human,7.74249761480715e-05,hIL4,-13.16430574180602
60,Ramos,Human,8.214167011095857e-05,hIL4,-13.138621134548496
61,Ramos,Human,8.714567651343575e-05,hIL4,-13.11293652729097
62,Ramos,Human,9.245449337677637e-05,hIL4,-13.087251920033445
63,Ramos,Human,9.808668397806175e-05,hIL4,-13.06156731277592
64,Ramos,Human,0.00010406194164928924,hIL4,-13.035882705518395
65,Ramos,Human,0.00011040115851162898,hIL4,-13.010198098260869
66,Ramos,Human,0.00011712649838298221,hIL4,-12.984513491003344
67,Ramos,Human,0.00012426147411130137,hIL4,-12.95882888374582
68,Ramos,Human,0.00013183102960128584,hIL4,-12.933144276488294
69,Ramos,Human,0.000139861626818123,hIL4,-12.90745966923077
70,Ramos,Human,0.00014838133806894505,hIL4,-12.881775061973244
71,Ramos,Human,0.00015741994388065048,hIL4,-12.85609045471572
72,Ramos,Human,0.00016700903681182187,hIL4,-12.830405847458195
73,Ramos,Human,0.0001771821315566099,hIL4,-12.804721240200669
74,Ramos,Human,0.0001879747817198189,hIL4,-12.779036632943145
