,Unnamed: 0,Cell,Animal,Receptor,MSE,$R^2$
0,0,Human Monocyte,Human,IL4Ra,14.274185698405615,0.8245828749407687
1,0,Human Monocyte,Human,Gamma,26.296688013793325,0.8491840153249673
2,0,Human Monocyte,Human,IL13Ra,26.660877173589256,0.8499292402716139
3,0,Human Macrophage,Human,Gamma,17.852336573913036,0.8319046944501349
4,0,Human Macrophage,Human,IL13Ra,22.712695414804138,0.8418502421427563
8,0,Human Fibroblast,Human,IL4Ra,2.425007553941408,0.8003364005112118
9,0,Human Fibroblast,Human,Gamma,4.7560883693488645,0.805106393053725
10,0,Human Fibroblast,Human,IL13Ra,5.015072933639248,0.805636342265321
11,0,Human Ramos,Human,IL4Ra,3.2020641596267536,0.8019264587321584
12,0,Human Ramos,Human,Gamma,3.201952237768403,0.801926229711171
13,0,Human A549,Human,IL4Ra,3.2019126750458926,0.8019261487556377
14,0,Human A549,Human,Gamma,3.2019063574642384,0.8019261358282364
15,0,Human A549,Human,IL13Ra,3.201863139867149,0.8019260473938866
