,Experimental,Ligand,Predicted,Cell,Animal,Concentration
0,0.0,hIL4,0.000231364401849317,Ramos,Human,-14.2247
1,0.0,hIL4,0.0018479660060111646,Ramos,Human,-13.3216
2,0.00421297,hIL4,0.014595329721290538,Ramos,Human,-12.4185
3,0.1441065,hIL4,0.10594481789806648,Ramos,Human,-11.5154
4,0.7450629000000001,hIL4,0.48667359212660566,Ramos,Human,-10.6124
5,1.0326,hIL4,0.8837663006479294,Ramos,Human,-9.70927
6,1.046745,hIL4,0.9841272115421064,Ramos,Human,-8.80618
7,0.922063,hIL4,0.9982873846303012,Ramos,Human,-7.90309
8,0.9974775,hIL4,1.0,Ramos,Human,-7.0
9,0.0,hIL4,0.000231364401849317,Ramos,Human,-14.2247
10,0.0,hIL4,0.0018479660060111646,Ramos,Human,-13.3216
11,0.00523566,hIL4,0.014595329721290538,Ramos,Human,-12.4185
12,0.1465092,hIL4,0.10594481789806648,Ramos,Human,-11.5154
13,0.7522217000000001,hIL4,0.48667359212660566,Ramos,Human,-10.6124
14,1.0438129999999999,hIL4,0.8837663006479294,Ramos,Human,-9.70927
15,1.101762,hIL4,0.9841272115421064,Ramos,Human,-8.80618
16,0.9844412,hIL4,0.9982873846303012,Ramos,Human,-7.90309
17,1.019096,hIL4,1.0,Ramos,Human,-7.0
18,0.03150859,hIL4,0.0008110446153790516,Ramos,Human,-13.6797
19,0.01470401,hIL4,0.0072516577541822305,Ramos,Human,-12.7255
20,0.037237429999999995,hIL4,0.06169516874673875,Ramos,Human,-11.7712
21,0.46288989999999997,hIL4,0.3717878582836381,Ramos,Human,-10.817
22,1.053151,hIL4,0.8421651628480917,Ramos,Human,-9.86273
23,1.0812220000000001,hIL4,0.9799046294857569,Ramos,Human,-8.90849
24,1.010376,hIL4,0.99803215380186,Ramos,Human,-7.95424
25,1.0583069999999999,hIL4,1.0,Ramos,Human,-7.0
26,0.02598342,hIL4,0.0008110446153790516,Ramos,Human,-13.6797
