,Cell,Experimental,Concentration,Animal,Ligand,Predicted
0,Ramos,0.0,-14.2247,Human,hIL4,0.0002304675992548823
1,Ramos,0.0,-13.3216,Human,hIL4,0.0018408145898882978
2,Ramos,0.00421297,-12.4185,Human,hIL4,0.014539568264101296
3,Ramos,0.1441065,-11.5154,Human,hIL4,0.10557756487521595
4,Ramos,0.7450629000000001,-10.6124,Human,hIL4,0.4857060130282133
5,Ramos,1.0326,-9.70927,Human,hIL4,0.8833759946531442
6,Ramos,1.046745,-8.80618,Human,hIL4,0.9840778324615336
7,Ramos,0.922063,-7.90309,Human,hIL4,0.99829117278828
8,Ramos,0.9974775,-7.0,Human,hIL4,1.0
9,Ramos,0.0,-14.2247,Human,hIL4,0.0002304675992548823
10,Ramos,0.0,-13.3216,Human,hIL4,0.0018408145898882978
11,Ramos,0.00523566,-12.4185,Human,hIL4,0.014539568264101296
12,Ramos,0.1465092,-11.5154,Human,hIL4,0.10557756487521595
13,Ramos,0.7522217000000001,-10.6124,Human,hIL4,0.4857060130282133
14,Ramos,1.0438129999999999,-9.70927,Human,hIL4,0.8833759946531442
15,Ramos,1.101762,-8.80618,Human,hIL4,0.9840778324615336
16,Ramos,0.9844412,-7.90309,Human,hIL4,0.99829117278828
17,Ramos,1.019096,-7.0,Human,hIL4,1.0
18,Ramos,0.03150859,-13.6797,Human,hIL4,0.0008079027079629894
19,Ramos,0.01470401,-12.7255,Human,hIL4,0.007223746478596502
20,Ramos,0.037237429999999995,-11.7712,Human,hIL4,0.06147072258474318
21,Ramos,0.46288989999999997,-10.817,Human,hIL4,0.3708826693390406
22,Ramos,1.053151,-9.86273,Human,hIL4,0.8416565976969078
23,Ramos,1.0812220000000001,-8.90849,Human,hIL4,0.979839348500816
24,Ramos,1.010376,-7.95424,Human,hIL4,0.9980351125396928
25,Ramos,1.0583069999999999,-7.0,Human,hIL4,1.0
26,Ramos,0.02598342,-13.6797,Human,hIL4,0.0008079027079629894
27,Ramos,0.004775,-12.7255,Human,hIL4,0.007223746478596502
28,Ramos,0.03181264,-11.7712,Human,hIL4,0.06147072258474318
29,Ramos,0.4510201,-10.817,Human,hIL4,0.3708826693390406
30,Ramos,1.0893810000000002,-9.86273,Human,hIL4,0.8416565976969078
31,Ramos,1.128449,-8.90849,Human,hIL4,0.979839348500816
32,Ramos,1.058623,-7.95424,Human,hIL4,0.9980351125396928
33,Ramos,1.1301860000000001,-7.0,Human,hIL4,1.0
34,Ramos,0.014945120000000001,-13.6797,Human,hIL4,0.0008079027079629894
35,Ramos,0.00043409000000000004,-12.7255,Human,hIL4,0.007223746478596502
36,Ramos,0.02337888,-11.7712,Human,hIL4,0.06147072258474318
37,Ramos,0.44481879999999996,-10.817,Human,hIL4,0.3708826693390406
38,Ramos,1.0534139999999999,-9.86273,Human,hIL4,0.8416565976969078
39,Ramos,1.075738,-8.90849,Human,hIL4,0.979839348500816
40,Ramos,1.0026869999999999,-7.95424,Human,hIL4,0.9980351125396928
41,Ramos,1.091366,-7.0,Human,hIL4,1.0
42,Ramos,0.03850394743,-14.67969757,Human,hIL4,8.084948766907886e-05
43,Ramos,0.0017201076200000001,-13.72545506,Human,hIL4,0.00072717523045129
44,Ramos,0.0,-12.77121255,Human,hIL4,0.006506738807747301
45,Ramos,0.03047677855,-11.81697004,Human,hIL4,0.05566418551990638
