,Ligand,Receptor,$K_D$
0,mIL4,IL4Rα,-1.5510827623320598
0,mIL4,gc,5.246839805141692
0,mIL4,IL13Rα,5.317441551140676
0,mNeo4,IL4Rα,1.1423679539667422
0,mNeo4,gc,5.127728232788112
0,hIL4,IL4Rα,-1.5889415567634781
0,hIL4,gc,5.999999991509894
0,hIL4,IL13Rα,3.0042052558651138
0,hNeo4,IL4Rα,-0.3283127597784308
0,hNeo4,gc,5.948280911557359
0,hIL13,IL4Rα,3.0000000000121556
0,hIL13,IL13Rα,-0.46607361431319916
