,Cell,Animal,Receptor,MSE,$R^2$
0,Monocyte,Human,IL4Ra,0.00022039315269524356,0.8524962492925238
0,Monocyte,Human,Gamma,0.00019527458628509087,0.8693074918950364
0,Monocyte,Human,IL13Ra,0.00028669283368023196,0.8081234931682997
0,Macrophage,Human,Gamma,0.00021103274715616378,0.8587609399522491
0,Macrophage,Human,IL13Ra,0.0002120090264257977,0.8581075400972722
0,Macrophage,Mouse,IL4Ra,0.00020443741746815303,0.8631750329230918
0,Macrophage,Mouse,Gamma,0.00021099931641885682,0.858783314327684
0,Macrophage,Mouse,IL13Ra,0.0002111287601863453,0.8586966807776996
0,Fibroblast,Human,IL4Ra,0.0002396183266123055,0.8396293102515843
0,Fibroblast,Human,Gamma,0.00023387752807821184,0.8434714864057851
0,Fibroblast,Human,IL13Ra,0.0002337501336319133,0.8435567483951822
0,Ramos,Human,IL4Ra,0.00023908884574756707,0.8399836788538826
0,Ramos,Human,Gamma,0.0002392184316948123,0.8398969501464618
0,A549,Human,IL4Ra,0.0002396156735323633,0.8396310858931485
0,A549,Human,Gamma,0.00023955639351205043,0.8396707605619448
0,A549,Human,IL13Ra,0.00023800996104045568,0.8407057500204943
0,3T3,Mouse,IL4Ra,0.00023960485925965267,0.8396383236215738
0,3T3,Mouse,Gamma,0.00021317069929413797,0.8573300608376864
0,3T3,Mouse,IL13Ra,0.00021298972033563792,0.8574511856314988
0,A20,Mouse,IL4Ra,0.00023965183135564284,0.8396068863457218
0,A20,Mouse,Gamma,0.00022086979402200434,0.8521772449015996
0,A20,Mouse,IL13Ra,0.0002208029082819066,0.8522220098927648
