,Cell,Animal,MSE,$R^2$
0,Monocyte,Human,0.1116463057655482,0.3767708402562078
0,Macrophage,Human,0.05862602282830705,0.6320576897296701
0,Macrophage,Mouse,0.1122517370546426,0.4385333531443203
0,Fibroblast,Human,0.013577986338633623,0.9227848411800359
0,Ramos,Human,0.01640721582956463,0.9265270938567657
0,A549,Human,0.043967993067978495,0.7215546848434369
0,3T3,Mouse,0.15256704742240224,0.15588781024226084
0,A20,Mouse,0.0802443411806844,0.5145194880628295
