Animal,Ligand,Cell,Antibody,EC50,Donor,Lower,Upper,IL4Rα,γ,IL13Rα,Ratio
Human,hIL13,A549,FALSE,6.52E-10,210309,5.59,92.84,110.1112383,9086.483973,1510.38867,6.015990556
Human,hNeo4,A549,FALSE,1,210309,0.00,0.00,110.1112383,9086.483973,1510.38867,6.015990556
Human,hIL4,Ramos,TRUE,2.07E-11,210929,-0.3888,100.5,2887.425651,12789.23321,5.014652759,2550.372644
Human,hIL13,Ramos,TRUE,1,210929,0,0,2887.425651,12789.23321,5.014652759,2550.372644
Human,hNeo4,Ramos,TRUE,3.49E-10,210929,-0.7113,103.6,2887.425651,12789.23321,5.014652759,2550.372644
Human,hIL4,Monocyte,TRUE,4.67E-11,210903,-1.692,113.3,128.5767197,141225.8347,766.4034949,184.2708646
Human,hIL13,Monocyte,TRUE,2.15E-09,210903,-2.415,105.8,128.5767197,141225.8347,766.4034949,184.2708646
Human,hNeo4,Monocyte,TRUE,2.18E-09,210903,-1.918,85.66,128.5767197,141225.8347,766.4034949,184.2708646
Human,hIL4,Monocyte,TRUE,2.21E-11,210831,-7.474,74.92,80.9769561,227468.7498,544.7727201,417.5479818
Human,hIL13,Monocyte,TRUE,4.51E-10,210831,-7.282,60.23,80.9769561,227468.7498,544.7727201,417.5479818
Human,hNeo4,Monocyte,TRUE,2.66E-09,210831,-4.243,52.77,80.9769561,227468.7498,544.7727201,417.5479818
Human,hIL4,Macrophage,TRUE,1.31E-10,210820,-2.271,68.38,ND,843885.3793,2213.970252,381.1638294
Human,hIL13,Macrophage,TRUE,5.84E-09,210820,-3.261,99.76,ND,843885.3793,2213.970252,381.1638294
Human,hNeo4,Macrophage,TRUE,2.20E-09,210820,-3.595,28.01,ND,843885.3793,2213.970252,381.1638294
Human,hIL4,Macrophage,TRUE,2.23E-10,210806,2.024,82.1,ND,778759.3033,1686.34342,461.8035058
Human,hIL13,Macrophage,TRUE,4.47E-09,210806,2.033,106.4,ND,778759.3033,1686.34342,461.8035058
Human,hNeo4,Macrophage,TRUE,2.42E-09,210806,3.274,5.387,ND,778759.3033,1686.34342,461.8035058
Human,hIL4,Monocyte,TRUE,3.93E-11,210722,-4,104.9,111.5305538,133559.6656,486.9179744,274.2960265
Human,hIL13,Monocyte,TRUE,1.51E-09,210722,4.793,105.4,111.5305538,133559.6656,486.9179744,274.2960265
Human,hNeo4,Monocyte,TRUE,1.94E-09,210722,6.609,81.44,111.5305538,133559.6656,486.9179744,274.2960265
Human,hIL4,A549,TRUE,2.01E-09,210309,4.122,90.19,110.1112383,9086.483973,1510.38867,6.015990556
Human,hIL13,A549,TRUE,6.48E-09,210309,4.117,89.23,110.1112383,9086.483973,1510.38867,6.015990556
Human,hNeo4,A549,TRUE,1.00E+00,210309,0,0,110.1112383,9086.483973,1510.38867,6.015990556
