,x
0,-3.0000315398745214
1,-3.524276117314839
2,-1.3403893028297693
3,-3.0000000000000004
4,0.5908117554383809
5,-4.293973936418897
6,-1.4514851339816695
7,-2.7533973587005827
8,-6.79667442103809
9,3.9999999999999996
10,-1.680158685667788
11,-5.187937302325858
12,2.6999999999999997
