Cell,Ligand,Concentration,Animal,Signal,Antibody,Donor,AB Norm
A549,hIL4,-7.60206,Human,98.2289,FALSE,Cell Line,FALSE
A549,hIL4,-7,Human,90.21002,FALSE,Cell Line,FALSE
A549,hIL4,-13.0206,Human,-5.35564,FALSE,Cell Line,FALSE
A549,hIL4,-12.4185,Human,-5.03489,FALSE,Cell Line,FALSE
A549,hIL4,-11.8165,Human,1.526018,FALSE,Cell Line,FALSE
A549,hIL4,-11.2144,Human,15.21158,FALSE,Cell Line,FALSE
A549,hIL4,-10.6124,Human,53.82858,FALSE,Cell Line,FALSE
A549,hIL4,-10.0103,Human,91.49304,FALSE,Cell Line,FALSE
A549,hIL4,-9.40824,Human,111.0591,FALSE,Cell Line,FALSE
A549,hIL4,-8.80618,Human,97.25692,FALSE,Cell Line,FALSE
A549,hIL4,-8.20412,Human,95.47818,FALSE,Cell Line,FALSE
A549,hIL4,-7.60206,Human,80.57764,FALSE,Cell Line,FALSE
A549,hIL4,-7,Human,38.45177,FALSE,Cell Line,FALSE
A549,hIL4,-13.0206,Human,-5.46256,FALSE,Cell Line,FALSE
A549,hIL4,-12.4185,Human,-4.97657,FALSE,Cell Line,FALSE
A549,hIL4,-11.8165,Human,4.267018,FALSE,Cell Line,FALSE
A549,hIL4,-11.2144,Human,15.94057,FALSE,Cell Line,FALSE
A549,hIL4,-10.6124,Human,50.58215,FALSE,Cell Line,FALSE
A549,hIL4,-10.0103,Human,80.25688,FALSE,Cell Line,FALSE
A549,hIL4,-9.40824,Human,113.2364,FALSE,Cell Line,FALSE
A549,hIL4,-8.80618,Human,102.1266,FALSE,Cell Line,FALSE
A549,hIL4,-8.20412,Human,105.2661,FALSE,Cell Line,FALSE
A549,hIL4,-7.60206,Human,93.24261,FALSE,Cell Line,FALSE
A549,hIL4,-7,Human,94.07852,FALSE,Cell Line,FALSE
A549,hNeo4,-13.0206,Human,-10.5169,FALSE,Cell Line,FALSE
A549,hNeo4,-12.4185,Human,-8.95199,FALSE,Cell Line,FALSE
A549,hNeo4,-11.8165,Human,-10.5849,FALSE,Cell Line,FALSE
A549,hNeo4,-11.2144,Human,-10.0989,FALSE,Cell Line,FALSE
A549,hNeo4,-10.6124,Human,-10.1087,FALSE,Cell Line,FALSE
A549,hNeo4,-10.0103,Human,-9.02975,FALSE,Cell Line,FALSE
A549,hNeo4,-9.40824,Human,-9.9823,FALSE,Cell Line,FALSE
A549,hNeo4,-8.80618,Human,-1.73985,FALSE,Cell Line,FALSE
A549,hNeo4,-8.20412,Human,-5.96799,FALSE,Cell Line,FALSE
A549,hNeo4,-7.60206,Human,-0.20412,FALSE,Cell Line,FALSE
A549,hNeo4,-7,Human,-3.98514,FALSE,Cell Line,FALSE
A549,hNeo4,-13.0206,Human,-9.03947,FALSE,Cell Line,FALSE
A549,hNeo4,-12.4185,Human,-5.47228,FALSE,Cell Line,FALSE
A549,hNeo4,-11.8165,Human,-7.06634,FALSE,Cell Line,FALSE
A549,hNeo4,-11.2144,Human,-6.93026,FALSE,Cell Line,FALSE
A549,hNeo4,-10.6124,Human,-5.239,FALSE,Cell Line,FALSE
A549,hNeo4,-10.0103,Human,-8.04804,FALSE,Cell Line,FALSE
A549,hNeo4,-9.40824,Human,-6.8039,FALSE,Cell Line,FALSE
A549,hNeo4,-8.80618,Human,-0.22356,FALSE,Cell Line,FALSE
A549,hNeo4,-8.20412,Human,-5.52088,FALSE,Cell Line,FALSE
A549,hNeo4,-7.60206,Human,-7.11494,FALSE,Cell Line,FALSE
A549,hNeo4,-7,Human,-6.31791,FALSE,Cell Line,FALSE
A549,hNeo4,-13.0206,Human,-0.51515,FALSE,Cell Line,FALSE
A549,hNeo4,-12.4185,Human,-7.98972,FALSE,Cell Line,FALSE
A549,hNeo4,-11.8165,Human,-5.73472,FALSE,Cell Line,FALSE
A549,hNeo4,-11.2144,Human,-5.50144,FALSE,Cell Line,FALSE
A549,hNeo4,-10.6124,Human,-3.19783,FALSE,Cell Line,FALSE
A549,hNeo4,-10.0103,Human,-3.44083,FALSE,Cell Line,FALSE
A549,hNeo4,-9.40824,Human,-4.61693,FALSE,Cell Line,FALSE
A549,hNeo4,-8.80618,Human,2.05089,FALSE,Cell Line,FALSE
A549,hNeo4,-8.20412,Human,-5.50144,FALSE,Cell Line,FALSE
A549,hNeo4,-7.60206,Human,-9.24359,FALSE,Cell Line,FALSE
A549,hNeo4,-7,Human,-2.39109,FALSE,Cell Line,FALSE
Macrophage,mIL4,-13.2483,Mouse,0.943415,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.7712,Mouse,1.170402,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.2941,Mouse,3.058413,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.817,Mouse,6.566071,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.3398,Mouse,24.48031,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.8627,Mouse,58.19378,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.3856,Mouse,96.08996,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.90849,Mouse,101.3367,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.43136,Mouse,87.3356,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.95424,Mouse,102.5165,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.47712,Mouse,95.38891,FALSE,Mouse,FALSE
Macrophage,mIL4,-8,Mouse,106.4321,FALSE,Mouse,FALSE
Macrophage,mIL4,-13.2483,Mouse,2.224945,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.7712,Mouse,2.350261,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.2941,Mouse,2.579612,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.817,Mouse,7.823957,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.3398,Mouse,28.69139,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.8627,Mouse,67.11484,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.3856,Mouse,85.41094,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.90849,Mouse,94.12747,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.43136,Mouse,99.10463,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.95424,Mouse,109.3344,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.47712,Mouse,109.1228,FALSE,Mouse,FALSE
Macrophage,mIL4,-8,Mouse,108.5742,FALSE,Mouse,FALSE
Macrophage,mIL4,-13.2483,Mouse,0.497105,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.7712,Mouse,0.811658,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.2941,Mouse,2.711143,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.817,Mouse,6.493261,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.3398,Mouse,31.84188,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.8627,Mouse,67.58852,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.3856,Mouse,97.10496,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.90849,Mouse,100.7438,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.43136,Mouse,96.85781,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.95424,Mouse,110.9771,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.47712,Mouse,97.28283,FALSE,Mouse,FALSE
Macrophage,mIL4,-8,Mouse,107.9196,FALSE,Mouse,FALSE
Macrophage,mIL4,-13.2483,Mouse,0.233106,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.7712,Mouse,16.47375,FALSE,Mouse,FALSE
Macrophage,mIL4,-12.2941,Mouse,1.033529,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.817,Mouse,4.516074,FALSE,Mouse,FALSE
Macrophage,mIL4,-11.3398,Mouse,27.68155,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.8627,Mouse,67.47244,FALSE,Mouse,FALSE
Macrophage,mIL4,-10.3856,Mouse,94.21969,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.90849,Mouse,90.83451,FALSE,Mouse,FALSE
Macrophage,mIL4,-9.43136,Mouse,111.3731,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.95424,Mouse,104.2114,FALSE,Mouse,FALSE
Macrophage,mIL4,-8.47712,Mouse,100.61,FALSE,Mouse,FALSE
Macrophage,mIL4,-8,Mouse,108.8773,FALSE,Mouse,FALSE
Macrophage,mNeo4,-10.0722,Mouse,1.3288,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.59512,Mouse,2.684,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.118,Mouse,6.515,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.64088,Mouse,20.99,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.16376,Mouse,50.127,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.68664,Mouse,87.659,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.20952,Mouse,105.9839,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.73239,Mouse,85.53507,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.25527,Mouse,117.122,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.77815,Mouse,102.04241,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.30103,Mouse,109.0459,FALSE,Mouse,FALSE
Macrophage,mNeo4,-4.82391,Mouse,114.652,FALSE,Mouse,FALSE
Macrophage,mNeo4,-10.0722,Mouse,1.992,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.59512,Mouse,2.272,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.118,Mouse,5.675,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.64088,Mouse,15.54,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.16376,Mouse,43.012,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.68664,Mouse,65.23,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.20952,Mouse,64.57306,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.73239,Mouse,88.695,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.25527,Mouse,77.837,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.77815,Mouse,79.207,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.30103,Mouse,90.0239,FALSE,Mouse,FALSE
Macrophage,mNeo4,-4.82391,Mouse,109.834,FALSE,Mouse,FALSE
Macrophage,mNeo4,-10.0722,Mouse,0.5851,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.59512,Mouse,2.296,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.118,Mouse,23.998666,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.64088,Mouse,24.709,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.16376,Mouse,59.167,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.68664,Mouse,103.618,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.20952,Mouse,127.934,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.73239,Mouse,123.7239,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.25527,Mouse,125.977,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.77815,Mouse,112.2559,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.30103,Mouse,109.315,FALSE,Mouse,FALSE
Macrophage,mNeo4,-4.82391,Mouse,128.41322,FALSE,Mouse,FALSE
Macrophage,mNeo4,-10.0722,Mouse,0.4297,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.59512,Mouse,0.9371,FALSE,Mouse,FALSE
Macrophage,mNeo4,-9.118,Mouse,4.555,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.64088,Mouse,16.261,FALSE,Mouse,FALSE
Macrophage,mNeo4,-8.16376,Mouse,45.0362,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.68664,Mouse,71.8256,FALSE,Mouse,FALSE
Macrophage,mNeo4,-7.20952,Mouse,74.405,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.73239,Mouse,80.062,FALSE,Mouse,FALSE
Macrophage,mNeo4,-6.25527,Mouse,82.725,FALSE,Mouse,FALSE
Macrophage,mNeo4,-5.77815,Mouse,86.502,FALSE,Mouse,FALSE
Macrophage,mNeo4,-4.82391,Mouse,91.3025,FALSE,Mouse,FALSE
3T3,mIL4,-12.0206,Mouse,10.64033,FALSE,Cell Line,FALSE
3T3,mIL4,-11.4185,Mouse,10.99903,FALSE,Cell Line,FALSE
3T3,mIL4,-10.8165,Mouse,9.844565,FALSE,Cell Line,FALSE
3T3,mIL4,-10.2144,Mouse,15.71332,FALSE,Cell Line,FALSE
3T3,mIL4,-9.61236,Mouse,45.60572,FALSE,Cell Line,FALSE
3T3,mIL4,-9.0103,Mouse,85.27937,FALSE,Cell Line,FALSE
3T3,mIL4,-8.40824,Mouse,99.04247,FALSE,Cell Line,FALSE
3T3,mIL4,-7.80618,Mouse,110.352,FALSE,Cell Line,FALSE
3T3,mIL4,-7.20412,Mouse,100.2542,FALSE,Cell Line,FALSE
3T3,mIL4,-6.60206,Mouse,101.487,FALSE,Cell Line,FALSE
3T3,mIL4,-6,Mouse,91.2687,FALSE,Cell Line,FALSE
3T3,mIL4,-12.0206,Mouse,10.37206,FALSE,Cell Line,FALSE
3T3,mIL4,-11.4185,Mouse,8.572548,FALSE,Cell Line,FALSE
3T3,mIL4,-10.8165,Mouse,8.400735,FALSE,Cell Line,FALSE
3T3,mIL4,-10.2144,Mouse,15.57165,FALSE,Cell Line,FALSE
3T3,mIL4,-9.61236,Mouse,46.98022,FALSE,Cell Line,FALSE
3T3,mIL4,-9.0103,Mouse,82.2621,FALSE,Cell Line,FALSE
3T3,mIL4,-8.40824,Mouse,98.18944,FALSE,Cell Line,FALSE
3T3,mIL4,-7.80618,Mouse,107.1177,FALSE,Cell Line,FALSE
3T3,mIL4,-7.20412,Mouse,102.1532,FALSE,Cell Line,FALSE
3T3,mIL4,-6.60206,Mouse,102.2768,FALSE,Cell Line,FALSE
3T3,mIL4,-6,Mouse,90.70503,FALSE,Cell Line,FALSE
3T3,mIL4,-12.0206,Mouse,9.136214,FALSE,Cell Line,FALSE
3T3,mIL4,-11.4185,Mouse,9.760166,FALSE,Cell Line,FALSE
3T3,mIL4,-10.8165,Mouse,8.608719,FALSE,Cell Line,FALSE
3T3,mIL4,-10.2144,Mouse,15.18884,FALSE,Cell Line,FALSE
3T3,mIL4,-9.61236,Mouse,44.59292,FALSE,Cell Line,FALSE
3T3,mIL4,-9.0103,Mouse,84.28165,FALSE,Cell Line,FALSE
3T3,mIL4,-8.40824,Mouse,93.11343,FALSE,Cell Line,FALSE
3T3,mIL4,-7.80618,Mouse,103.3137,FALSE,Cell Line,FALSE
3T3,mIL4,-7.20412,Mouse,100.6792,FALSE,Cell Line,FALSE
3T3,mIL4,-6.60206,Mouse,102.7922,FALSE,Cell Line,FALSE
3T3,mIL4,-6,Mouse,87.60035,FALSE,Cell Line,FALSE
3T3,mNeo4,-11.4466,Mouse,12.38558,FALSE,Cell Line,FALSE
3T3,mNeo4,-10.8445,Mouse,9.467783,FALSE,Cell Line,FALSE
3T3,mNeo4,-10.2424,Mouse,8.768475,FALSE,Cell Line,FALSE
3T3,mNeo4,-9.64039,Mouse,7.559758,FALSE,Cell Line,FALSE
3T3,mNeo4,-9.03833,Mouse,7.972711,FALSE,Cell Line,FALSE
3T3,mNeo4,-8.43627,Mouse,8.319351,FALSE,Cell Line,FALSE
3T3,mNeo4,-7.83421,Mouse,6.516825,FALSE,Cell Line,FALSE
3T3,mNeo4,-7.23215,Mouse,5.015724,FALSE,Cell Line,FALSE
3T3,mNeo4,-6.63009,Mouse,6.335969,FALSE,Cell Line,FALSE
3T3,mNeo4,-6.02803,Mouse,3.671366,FALSE,Cell Line,FALSE
3T3,mNeo4,-5.42597,Mouse,14.62819,FALSE,Cell Line,FALSE
3T3,mNeo4,-4.82391,Mouse,0,FALSE,Cell Line,FALSE
3T3,mNeo4,-11.4466,Mouse,10.37507,FALSE,Cell Line,FALSE
3T3,mNeo4,-10.8445,Mouse,9.910878,FALSE,Cell Line,FALSE
3T3,mNeo4,-10.2424,Mouse,9.537111,FALSE,Cell Line,FALSE
3T3,mNeo4,-9.64039,Mouse,6.90265,FALSE,Cell Line,FALSE
3T3,mNeo4,-9.03833,Mouse,8.587619,FALSE,Cell Line,FALSE
3T3,mNeo4,-8.43627,Mouse,8.250023,FALSE,Cell Line,FALSE
3T3,mNeo4,-7.83421,Mouse,6.311855,FALSE,Cell Line,FALSE
3T3,mNeo4,-7.23215,Mouse,5.657761,FALSE,Cell Line,FALSE
3T3,mNeo4,-6.63009,Mouse,6.326926,FALSE,Cell Line,FALSE
3T3,mNeo4,-6.02803,Mouse,4.605785,FALSE,Cell Line,FALSE
3T3,mNeo4,-5.42597,Mouse,4.40383,FALSE,Cell Line,FALSE
3T3,mNeo4,-4.82391,Mouse,0.171813,FALSE,Cell Line,FALSE
3T3,mNeo4,-11.4466,Mouse,9.540125,FALSE,Cell Line,FALSE
3T3,mNeo4,-10.8445,Mouse,10.16709,FALSE,Cell Line,FALSE
3T3,mNeo4,-10.2424,Mouse,9.362284,FALSE,Cell Line,FALSE
3T3,mNeo4,-9.64039,Mouse,8.421835,FALSE,Cell Line,FALSE
3T3,mNeo4,-9.03833,Mouse,7.779798,FALSE,Cell Line,FALSE
3T3,mNeo4,-8.43627,Mouse,8.717233,FALSE,Cell Line,FALSE
3T3,mNeo4,-7.83421,Mouse,6.390226,FALSE,Cell Line,FALSE
3T3,mNeo4,-7.23215,Mouse,5.473892,FALSE,Cell Line,FALSE
3T3,mNeo4,-6.63009,Mouse,5.696947,FALSE,Cell Line,FALSE
3T3,mNeo4,-6.02803,Mouse,4.825826,FALSE,Cell Line,FALSE
3T3,mNeo4,-5.42597,Mouse,4.418901,FALSE,Cell Line,FALSE
3T3,mNeo4,-4.82391,Mouse,2.073809,FALSE,Cell Line,FALSE
Macrophage,hIL4,-13.00336125,Human,2.782013215,FALSE,210504,FALSE
Macrophage,hIL4,-12.22521,Human,3.341982541,FALSE,210504,FALSE
Macrophage,hIL4,-11.44705875,Human,5.695993723,FALSE,210504,FALSE
Macrophage,hIL4,-10.6689075,Human,36.62627397,FALSE,210504,FALSE
Macrophage,hIL4,-9.890756252,Human,81.79475519,FALSE,210504,FALSE
Macrophage,hIL4,-9.112605002,Human,99.44627237,FALSE,210504,FALSE
Macrophage,hIL4,-8.334453751,Human,102.9808558,FALSE,210504,FALSE
