Cell,Ligand,Concentration,Animal,Signal,Antibody,Donor,AB Norm
Ramos,hIL4,-14.2247,Human,-0.41719,FALSE,Cell Line,FALSE
Ramos,hIL4,-13.3216,Human,-0.40918,FALSE,Cell Line,FALSE
Ramos,hIL4,-12.4185,Human,0.421297,FALSE,Cell Line,FALSE
Ramos,hIL4,-11.5154,Human,14.41065,FALSE,Cell Line,FALSE
Ramos,hIL4,-10.6124,Human,74.50629,FALSE,Cell Line,FALSE
Ramos,hIL4,-9.70927,Human,103.26,FALSE,Cell Line,FALSE
Ramos,hIL4,-8.80618,Human,104.6745,FALSE,Cell Line,FALSE
Ramos,hIL4,-7.90309,Human,92.2063,FALSE,Cell Line,FALSE
Ramos,hIL4,-7,Human,99.74775,FALSE,Cell Line,FALSE
Ramos,hIL4,-14.2247,Human,-0.586,FALSE,Cell Line,FALSE
Ramos,hIL4,-13.3216,Human,-0.31184,FALSE,Cell Line,FALSE
Ramos,hIL4,-12.4185,Human,0.523566,FALSE,Cell Line,FALSE
Ramos,hIL4,-11.5154,Human,14.65092,FALSE,Cell Line,FALSE
Ramos,hIL4,-10.6124,Human,75.22217,FALSE,Cell Line,FALSE
Ramos,hIL4,-9.70927,Human,104.3813,FALSE,Cell Line,FALSE
Ramos,hIL4,-8.80618,Human,110.1762,FALSE,Cell Line,FALSE
Ramos,hIL4,-7.90309,Human,98.44412,FALSE,Cell Line,FALSE
Ramos,hIL4,-7,Human,101.9096,FALSE,Cell Line,FALSE
Ramos,hNeo4,-14.2247,Human,-0.37345,FALSE,Cell Line,FALSE
Ramos,hNeo4,-13.3216,Human,-0.25701,FALSE,Cell Line,FALSE
Ramos,hNeo4,-12.4185,Human,-0.14057,FALSE,Cell Line,FALSE
Ramos,hNeo4,-11.5154,Human,0.232776,FALSE,Cell Line,FALSE
Ramos,hNeo4,-10.6124,Human,7.662714,FALSE,Cell Line,FALSE
Ramos,hNeo4,-9.70927,Human,61.23836,FALSE,Cell Line,FALSE
Ramos,hNeo4,-8.80618,Human,104.8193,FALSE,Cell Line,FALSE
Ramos,hNeo4,-7.90309,Human,104.2433,FALSE,Cell Line,FALSE
Ramos,hNeo4,-7,Human,105.7231,FALSE,Cell Line,FALSE
Ramos,hNeo4,-14.2247,Human,-0.37961,FALSE,Cell Line,FALSE
Ramos,hNeo4,-13.3216,Human,-0.57244,FALSE,Cell Line,FALSE
Ramos,hNeo4,-12.4185,Human,-0.87186,FALSE,Cell Line,FALSE
Ramos,hNeo4,-11.5154,Human,-0.00195,FALSE,Cell Line,FALSE
Ramos,hNeo4,-10.6124,Human,7.988621,FALSE,Cell Line,FALSE
Ramos,hNeo4,-9.70927,Human,62.27892,FALSE,Cell Line,FALSE
Ramos,hNeo4,-8.80618,Human,98.92589,FALSE,Cell Line,FALSE
Ramos,hNeo4,-7.90309,Human,103.9882,FALSE,Cell Line,FALSE
Ramos,hNeo4,-7,Human,98.72505,FALSE,Cell Line,FALSE
Macrophage,hIL4,-13.2247,Human,0.902542,FALSE,210129,FALSE
Macrophage,hIL4,-12.6227,Human,0.071806,FALSE,210129,FALSE
Macrophage,hIL4,-12.0206,Human,0.668345,FALSE,210129,FALSE
Macrophage,hIL4,-11.4185,Human,7.263419,FALSE,210129,FALSE
Macrophage,hIL4,-10.8165,Human,38.3387,FALSE,210129,FALSE
Macrophage,hIL4,-10.2144,Human,81.07301,FALSE,210129,FALSE
Macrophage,hIL4,-9.61236,Human,95.74788,FALSE,210129,FALSE
Macrophage,hIL4,-9.0103,Human,92.12224,FALSE,210129,FALSE
Macrophage,hIL4,-8.40824,Human,93.2623,FALSE,210129,FALSE
Macrophage,hIL4,-7.80618,Human,92.97066,FALSE,210129,FALSE
Macrophage,hIL4,-7.20412,Human,96.61175,FALSE,210129,FALSE
Macrophage,hIL4,-6.60206,Human,103.8299,FALSE,210129,FALSE
Macrophage,hIL4,-13.2247,Human,1.644902,FALSE,210129,FALSE
Macrophage,hIL4,-12.6227,Human,0.237511,FALSE,210129,FALSE
Macrophage,hIL4,-12.0206,Human,0.745674,FALSE,210129,FALSE
Macrophage,hIL4,-11.4185,Human,7.935078,FALSE,210129,FALSE
Macrophage,hIL4,-10.8165,Human,37.64936,FALSE,210129,FALSE
Macrophage,hIL4,-10.2144,Human,82.91344,FALSE,210129,FALSE
Macrophage,hIL4,-9.61236,Human,95.8716,FALSE,210129,FALSE
Macrophage,hIL4,-9.0103,Human,100.1954,FALSE,210129,FALSE
Macrophage,hIL4,-8.40824,Human,96.49466,FALSE,210129,FALSE
Macrophage,hIL4,-7.80618,Human,99.64085,FALSE,210129,FALSE
Macrophage,hIL4,-7.20412,Human,105.7167,FALSE,210129,FALSE
Macrophage,hIL4,-6.60206,Human,101.89,FALSE,210129,FALSE
Macrophage,hIL4,-13.2247,Human,1.644902,FALSE,210129,FALSE
Macrophage,hIL4,-12.6227,Human,0.237511,FALSE,210129,FALSE
Macrophage,hIL4,-12.0206,Human,0.745674,FALSE,210129,FALSE
Macrophage,hIL4,-11.4185,Human,7.935078,FALSE,210129,FALSE
Macrophage,hIL4,-10.8165,Human,37.64936,FALSE,210129,FALSE
Macrophage,hIL4,-10.2144,Human,82.91344,FALSE,210129,FALSE
Macrophage,hIL4,-9.61236,Human,95.8716,FALSE,210129,FALSE
Macrophage,hIL4,-9.0103,Human,100.1954,FALSE,210129,FALSE
Macrophage,hIL4,-8.40824,Human,96.49466,FALSE,210129,FALSE
Macrophage,hIL4,-7.80618,Human,99.64085,FALSE,210129,FALSE
Macrophage,hIL4,-7.20412,Human,105.7167,FALSE,210129,FALSE
Macrophage,hIL4,-6.60206,Human,101.89,FALSE,210129,FALSE
Macrophage,hNeo4,-12.6227,Human,1.004175,FALSE,210129,FALSE
Macrophage,hNeo4,-12.0206,Human,-0.306,FALSE,210129,FALSE
Macrophage,hNeo4,-11.4185,Human,-0.78323,FALSE,210129,FALSE
Macrophage,hNeo4,-10.8165,Human,-0.73021,FALSE,210129,FALSE
Macrophage,hNeo4,-10.2144,Human,0.257396,FALSE,210129,FALSE
Macrophage,hNeo4,-9.61236,Human,2.073527,FALSE,210129,FALSE
Macrophage,hNeo4,-9.0103,Human,7.946125,FALSE,210129,FALSE
Macrophage,hNeo4,-8.40824,Human,15.63264,FALSE,210129,FALSE
Macrophage,hNeo4,-7.80618,Human,17.75588,FALSE,210129,FALSE
Macrophage,hNeo4,-7.20412,Human,24.32002,FALSE,210129,FALSE
Macrophage,hNeo4,-6.60206,Human,24.92098,FALSE,210129,FALSE
Macrophage,hNeo4,-6,Human,27.88821,FALSE,210129,FALSE
Macrophage,hNeo4,-12.6227,Human,0.677183,FALSE,210129,FALSE
Macrophage,hNeo4,-12.0206,Human,-0.34577,FALSE,210129,FALSE
Macrophage,hNeo4,-11.4185,Human,-0.94231,FALSE,210129,FALSE
Macrophage,hNeo4,-10.8165,Human,-0.93347,FALSE,210129,FALSE
Macrophage,hNeo4,-10.2144,Human,-0.25298,FALSE,210129,FALSE
Macrophage,hNeo4,-9.61236,Human,0.904751,FALSE,210129,FALSE
Macrophage,hNeo4,-9.0103,Human,5.738929,FALSE,210129,FALSE
Macrophage,hNeo4,-8.40824,Human,13.70162,FALSE,210129,FALSE
Macrophage,hNeo4,-7.80618,Human,19.00641,FALSE,210129,FALSE
Macrophage,hNeo4,-7.20412,Human,22.65192,FALSE,210129,FALSE
Macrophage,hNeo4,-6.60206,Human,25.59706,FALSE,210129,FALSE
Macrophage,hNeo4,-6,Human,25.02041,FALSE,210129,FALSE
Macrophage,hNeo4,-12.6227,Human,0.451823,FALSE,210129,FALSE
Macrophage,hNeo4,-12.0206,Human,-0.51148,FALSE,210129,FALSE
Macrophage,hNeo4,-11.4185,Human,-0.76998,FALSE,210129,FALSE
Macrophage,hNeo4,-10.8165,Human,-1.27372,FALSE,210129,FALSE
Macrophage,hNeo4,-10.2144,Human,-0.28833,FALSE,210129,FALSE
Macrophage,hNeo4,-9.61236,Human,1.010803,FALSE,210129,FALSE
Macrophage,hNeo4,-9.0103,Human,6.430473,FALSE,210129,FALSE
Macrophage,hNeo4,-8.40824,Human,12.76263,FALSE,210129,FALSE
Macrophage,hNeo4,-7.80618,Human,17.47087,FALSE,210129,FALSE
Macrophage,hNeo4,-7.20412,Human,22.1526,FALSE,210129,FALSE
Macrophage,hNeo4,-6.60206,Human,23.77651,FALSE,210129,FALSE
Macrophage,hNeo4,-6,Human,26.52501,FALSE,210129,FALSE
A549,hIL4,-13.0206,Human,-7.00802,FALSE,Cell Line,FALSE
A549,hIL4,-12.4185,Human,-5.50144,FALSE,Cell Line,FALSE
A549,hIL4,-11.8165,Human,0.155518,FALSE,Cell Line,FALSE
A549,hIL4,-11.2144,Human,13.19957,FALSE,Cell Line,FALSE
A549,hIL4,-10.6124,Human,48.92977,FALSE,Cell Line,FALSE
A549,hIL4,-10.0103,Human,95.98362,FALSE,Cell Line,FALSE
A549,hIL4,-9.40824,Human,113.7807,FALSE,Cell Line,FALSE
A549,hIL4,-8.80618,Human,102.7972,FALSE,Cell Line,FALSE
A549,hIL4,-8.20412,Human,102.6612,FALSE,Cell Line,FALSE
